,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
1,0.2,I Kaia,T Marumani,MA Starc,1,0,null,1,0,null,null
2,0.3,T Marumani,I Kaia,MA Starc,1,0,null,1,0,null,null
3,0.4,I Kaia,T Marumani,MA Starc,1,0,null,1,0,null,null
4,0.5,T Marumani,I Kaia,MA Starc,1,0,null,1,0,null,null
5,0.6,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
6,1.1,T Marumani,I Kaia,JR Hazlewood,1,0,null,1,0,null,null
7,1.2,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
8,1.3,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
9,1.4,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
10,1.5,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
11,1.6,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
12,2.1,T Marumani,I Kaia,MA Starc,0,0,null,0,0,null,null
13,2.2,T Marumani,I Kaia,MA Starc,1,0,null,1,0,null,null
14,2.3,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
15,2.4,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
16,2.5,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
17,2.6,I Kaia,T Marumani,MA Starc,0,0,null,0,0,null,null
18,3.1,T Marumani,I Kaia,JR Hazlewood,3,0,null,3,0,null,null
19,3.2,I Kaia,T Marumani,JR Hazlewood,0,1,legbyes ,1,0,null,null
20,3.3,T Marumani,I Kaia,JR Hazlewood,0,0,null,0,0,null,null
21,3.4,T Marumani,I Kaia,JR Hazlewood,1,0,null,1,0,null,null
22,3.5,I Kaia,T Marumani,JR Hazlewood,0,0,null,0,0,null,null
