,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DA Warner,AJ Finch,R Ngarava,0,1,wides ,1,0,null,null
1,0.2,DA Warner,AJ Finch,R Ngarava,0,0,null,0,0,null,null
2,0.3,DA Warner,AJ Finch,R Ngarava,0,0,null,0,0,null,null
3,0.4,DA Warner,AJ Finch,R Ngarava,1,0,null,1,0,null,null
4,0.5,AJ Finch,DA Warner,R Ngarava,0,0,null,0,0,null,null
5,0.6,AJ Finch,DA Warner,R Ngarava,0,0,null,0,0,null,null
6,0.7,AJ Finch,DA Warner,R Ngarava,0,0,null,0,0,null,null
7,1.1,DA Warner,AJ Finch,B Evans,4,0,null,4,0,null,null
8,1.2,DA Warner,AJ Finch,B Evans,1,0,null,1,0,null,null
9,1.3,AJ Finch,DA Warner,B Evans,1,0,null,1,0,null,null
10,1.4,DA Warner,AJ Finch,B Evans,2,0,null,2,0,null,null
11,1.5,DA Warner,AJ Finch,B Evans,4,0,null,4,0,null,null
12,1.6,DA Warner,AJ Finch,B Evans,1,0,null,1,0,null,null
13,2.1,DA Warner,AJ Finch,R Ngarava,0,0,null,0,1,DA Warner,caught
14,2.2,AJ Finch,SPD Smith,R Ngarava,0,1,wides ,1,0,null,null
15,2.3,AJ Finch,SPD Smith,R Ngarava,0,0,null,0,0,null,null
16,2.4,AJ Finch,SPD Smith,R Ngarava,0,0,null,0,1,AJ Finch,caught
17,2.5,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
18,2.6,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
19,2.7,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
20,3.1,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
21,3.2,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
22,3.3,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
23,3.4,SPD Smith,AT Carey,B Evans,4,0,null,4,0,null,null
24,3.5,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
25,3.6,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
26,4.1,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
27,4.2,AT Carey,SPD Smith,R Ngarava,0,1,wides ,1,0,null,null
28,4.3,AT Carey,SPD Smith,R Ngarava,1,0,null,1,0,null,null
29,4.4,SPD Smith,AT Carey,R Ngarava,1,0,null,1,0,null,null
30,4.5,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
31,4.6,AT Carey,SPD Smith,R Ngarava,1,0,null,1,0,null,null
32,4.7,SPD Smith,AT Carey,R Ngarava,1,0,null,1,0,null,null
33,5.1,SPD Smith,AT Carey,B Evans,4,0,null,4,0,null,null
34,5.2,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
35,5.3,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
36,5.4,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
37,5.5,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
38,5.6,SPD Smith,AT Carey,B Evans,0,0,null,0,0,null,null
39,6.1,AT Carey,SPD Smith,R Ngarava,1,0,null,1,0,null,null
40,6.2,SPD Smith,AT Carey,R Ngarava,1,0,null,1,0,null,null
41,6.3,AT Carey,SPD Smith,R Ngarava,0,0,null,0,0,null,null
42,6.4,AT Carey,SPD Smith,R Ngarava,0,1,legbyes ,1,0,null,null
43,6.5,SPD Smith,AT Carey,R Ngarava,6,0,null,6,0,null,null
44,6.6,SPD Smith,AT Carey,R Ngarava,0,0,null,0,0,null,null
45,7.1,AT Carey,SPD Smith,B Evans,0,0,null,0,0,null,null
46,7.2,AT Carey,SPD Smith,B Evans,4,0,null,4,0,null,null
47,7.3,AT Carey,SPD Smith,B Evans,0,0,null,0,0,null,null
48,7.4,AT Carey,SPD Smith,B Evans,4,0,null,4,0,null,null
49,7.5,AT Carey,SPD Smith,B Evans,0,0,null,0,0,null,null
50,7.6,AT Carey,SPD Smith,B Evans,0,0,null,0,0,null,null
51,8.1,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
52,8.2,SPD Smith,AT Carey,Sikandar Raza,4,0,null,4,0,null,null
53,8.3,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
54,8.4,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
55,8.5,SPD Smith,AT Carey,Sikandar Raza,4,0,null,4,0,null,null
56,8.6,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
57,9.1,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
58,9.2,AT Carey,SPD Smith,LM Jongwe,2,0,null,2,0,null,null
59,9.3,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
60,9.4,AT Carey,SPD Smith,LM Jongwe,1,0,null,1,0,null,null
61,9.5,SPD Smith,AT Carey,LM Jongwe,0,0,null,0,0,null,null
62,9.6,SPD Smith,AT Carey,LM Jongwe,0,0,null,0,0,null,null
63,10.1,AT Carey,SPD Smith,Sikandar Raza,3,0,null,3,0,null,null
64,10.2,SPD Smith,AT Carey,Sikandar Raza,4,0,null,4,0,null,null
65,10.3,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
66,10.4,SPD Smith,AT Carey,Sikandar Raza,0,0,null,0,0,null,null
67,10.5,SPD Smith,AT Carey,Sikandar Raza,4,0,null,4,0,null,null
68,10.6,SPD Smith,AT Carey,Sikandar Raza,4,0,null,4,0,null,null
69,11.1,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
70,11.2,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
71,11.3,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
72,11.4,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
73,11.5,AT Carey,SPD Smith,LM Jongwe,0,0,null,0,0,null,null
74,11.6,AT Carey,SPD Smith,LM Jongwe,1,0,null,1,0,null,null
75,12.1,AT Carey,SPD Smith,SC Williams,1,0,null,1,0,null,null
76,12.2,SPD Smith,AT Carey,SC Williams,1,0,null,1,0,null,null
77,12.3,AT Carey,SPD Smith,SC Williams,1,0,null,1,0,null,null
78,12.4,SPD Smith,AT Carey,SC Williams,0,0,null,0,0,null,null
79,12.5,SPD Smith,AT Carey,SC Williams,0,0,null,0,0,null,null
80,12.6,SPD Smith,AT Carey,SC Williams,2,0,null,2,0,null,null
81,13.1,AT Carey,SPD Smith,LM Jongwe,1,0,null,1,0,null,null
82,13.2,SPD Smith,AT Carey,LM Jongwe,0,0,null,0,0,null,null
83,13.3,SPD Smith,AT Carey,LM Jongwe,1,0,null,1,0,null,null
84,13.4,AT Carey,SPD Smith,LM Jongwe,0,1,wides ,1,0,null,null
85,13.5,AT Carey,SPD Smith,LM Jongwe,1,0,null,1,0,null,null
86,13.6,SPD Smith,AT Carey,LM Jongwe,0,1,wides ,1,0,null,null
87,13.7,SPD Smith,AT Carey,LM Jongwe,4,0,null,4,0,null,null
88,13.8,SPD Smith,AT Carey,LM Jongwe,0,0,null,0,0,null,null
89,14.1,AT Carey,SPD Smith,SC Williams,1,0,null,1,0,null,null
90,14.2,SPD Smith,AT Carey,SC Williams,1,0,null,1,0,null,null
91,14.3,AT Carey,SPD Smith,SC Williams,0,2,wides ,2,0,null,null
92,14.4,SPD Smith,AT Carey,SC Williams,1,0,null,1,0,null,null
93,14.5,AT Carey,SPD Smith,SC Williams,3,1,noballs ,4,0,null,null
94,14.6,SPD Smith,AT Carey,SC Williams,0,4,byes ,4,0,null,null
