,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
2,0.3,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
3,0.4,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
4,0.5,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,0,null,0,0,null,null
6,1.1,BG Rogers,S Matsikenyeri,Nazmul Hossain,4,0,null,4,0,null,null
7,1.2,BG Rogers,S Matsikenyeri,Nazmul Hossain,0,0,null,0,0,null,null
8,1.3,BG Rogers,S Matsikenyeri,Nazmul Hossain,0,0,null,0,0,null,null
9,1.4,BG Rogers,S Matsikenyeri,Nazmul Hossain,0,0,null,0,0,null,null
10,1.5,BG Rogers,S Matsikenyeri,Nazmul Hossain,0,0,null,0,0,null,null
11,1.6,BG Rogers,S Matsikenyeri,Nazmul Hossain,1,0,null,1,0,null,null
12,2.1,BG Rogers,S Matsikenyeri,Mashrafe Mortaza,0,0,null,0,0,null,null
13,2.2,BG Rogers,S Matsikenyeri,Mashrafe Mortaza,0,0,null,0,0,null,null
14,2.3,BG Rogers,S Matsikenyeri,Mashrafe Mortaza,0,0,null,0,0,null,null
15,2.4,BG Rogers,S Matsikenyeri,Mashrafe Mortaza,1,0,null,1,0,null,null
16,2.5,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,4,0,null,4,0,null,null
17,2.6,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,0,1,wides ,1,0,null,null
18,2.7,S Matsikenyeri,BG Rogers,Mashrafe Mortaza,1,0,null,1,0,null,null
19,3.1,S Matsikenyeri,BG Rogers,Nazmul Hossain,0,0,null,0,0,null,null
20,3.2,S Matsikenyeri,BG Rogers,Nazmul Hossain,0,0,null,0,0,null,null
21,3.3,S Matsikenyeri,BG Rogers,Nazmul Hossain,0,0,null,0,1,S Matsikenyeri,lbw
22,3.4,H Masakadza,BG Rogers,Nazmul Hossain,0,0,null,0,0,null,null
23,3.5,H Masakadza,BG Rogers,Nazmul Hossain,0,0,null,0,0,null,null
24,3.6,H Masakadza,BG Rogers,Nazmul Hossain,0,0,null,0,0,null,null
25,4.1,BG Rogers,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
26,4.2,BG Rogers,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
27,4.3,BG Rogers,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
