,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sibanda,Sikandar Raza,R Vinay Kumar,0,0,null,0,0,null,null
1,0.2,V Sibanda,Sikandar Raza,R Vinay Kumar,0,0,null,0,0,null,null
2,0.3,V Sibanda,Sikandar Raza,R Vinay Kumar,0,0,null,0,1,V Sibanda,caught
3,0.4,Sikandar Raza,H Masakadza,R Vinay Kumar,0,1,wides ,1,0,null,null
4,0.5,Sikandar Raza,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
5,0.6,Sikandar Raza,H Masakadza,R Vinay Kumar,1,0,null,1,0,null,null
6,0.7,H Masakadza,Sikandar Raza,R Vinay Kumar,0,0,null,0,0,null,null
7,1.1,Sikandar Raza,H Masakadza,Mohammed Shami,0,0,null,0,1,Sikandar Raza,caught
8,1.2,BRM Taylor,H Masakadza,Mohammed Shami,0,0,null,0,0,null,null
9,1.3,BRM Taylor,H Masakadza,Mohammed Shami,0,0,null,0,0,null,null
10,1.4,BRM Taylor,H Masakadza,Mohammed Shami,1,0,null,1,0,null,null
11,1.5,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
12,1.6,H Masakadza,BRM Taylor,Mohammed Shami,0,4,legbyes ,4,0,null,null
13,2.1,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
14,2.2,BRM Taylor,H Masakadza,R Vinay Kumar,4,0,null,4,0,null,null
15,2.3,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
16,2.4,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
17,2.5,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
18,2.6,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
19,3.1,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
20,3.2,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
21,3.3,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
22,3.4,H Masakadza,BRM Taylor,Mohammed Shami,3,0,null,3,0,null,null
23,3.5,BRM Taylor,H Masakadza,Mohammed Shami,0,0,null,0,0,null,null
24,3.6,BRM Taylor,H Masakadza,Mohammed Shami,0,0,null,0,0,null,null
25,4.1,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
26,4.2,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
27,4.3,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
28,4.4,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
29,4.5,H Masakadza,BRM Taylor,R Vinay Kumar,4,0,null,4,0,null,null
30,4.6,H Masakadza,BRM Taylor,R Vinay Kumar,4,0,null,4,0,null,null
31,5.1,BRM Taylor,H Masakadza,Mohammed Shami,1,0,null,1,0,null,null
32,5.2,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
33,5.3,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
34,5.4,H Masakadza,BRM Taylor,Mohammed Shami,3,0,null,3,0,null,null
35,5.5,BRM Taylor,H Masakadza,Mohammed Shami,1,0,null,1,0,null,null
36,5.6,H Masakadza,BRM Taylor,Mohammed Shami,0,0,null,0,0,null,null
37,6.1,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
38,6.2,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
39,6.3,BRM Taylor,H Masakadza,R Vinay Kumar,0,0,null,0,0,null,null
40,6.4,BRM Taylor,H Masakadza,R Vinay Kumar,1,0,null,1,0,null,null
41,6.5,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
42,6.6,H Masakadza,BRM Taylor,R Vinay Kumar,0,0,null,0,0,null,null
