,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,C Zhuwao,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
1,0.2,C Zhuwao,SF Mire,TJ Murtagh,6,0,null,6,0,null,null
2,0.3,C Zhuwao,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
3,0.4,C Zhuwao,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
4,0.5,C Zhuwao,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
5,0.6,C Zhuwao,SF Mire,TJ Murtagh,1,0,null,1,0,null,null
6,1.1,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
7,1.2,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
8,1.3,C Zhuwao,SF Mire,BJ McCarthy,4,0,null,4,0,null,null
9,1.4,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
10,1.5,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
11,1.6,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
12,2.1,SF Mire,C Zhuwao,TJ Murtagh,0,0,null,0,0,null,null
13,2.2,SF Mire,C Zhuwao,TJ Murtagh,0,0,null,0,0,null,null
14,2.3,SF Mire,C Zhuwao,TJ Murtagh,1,0,null,1,0,null,null
15,2.4,C Zhuwao,SF Mire,TJ Murtagh,6,0,null,6,0,null,null
16,2.5,C Zhuwao,SF Mire,TJ Murtagh,3,0,null,3,0,null,null
17,2.6,SF Mire,C Zhuwao,TJ Murtagh,0,0,null,0,0,null,null
18,3.1,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
19,3.2,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
20,3.3,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
21,3.4,C Zhuwao,SF Mire,BJ McCarthy,0,0,null,0,1,C Zhuwao,caught
22,3.5,H Masakadza,SF Mire,BJ McCarthy,0,0,null,0,0,null,null
23,3.6,H Masakadza,SF Mire,BJ McCarthy,3,0,null,3,0,null,null
24,4.1,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
25,4.2,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
26,4.3,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
27,4.4,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
28,4.5,H Masakadza,SF Mire,TJ Murtagh,4,0,null,4,0,null,null
29,4.6,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
30,5.1,SF Mire,H Masakadza,BJ McCarthy,0,0,null,0,0,null,null
31,5.2,SF Mire,H Masakadza,BJ McCarthy,0,0,null,0,0,null,null
32,5.3,SF Mire,H Masakadza,BJ McCarthy,0,1,wides ,1,0,null,null
33,5.4,SF Mire,H Masakadza,BJ McCarthy,0,0,null,0,0,null,null
34,5.5,SF Mire,H Masakadza,BJ McCarthy,6,0,null,6,0,null,null
35,5.6,SF Mire,H Masakadza,BJ McCarthy,0,0,null,0,0,null,null
36,5.7,SF Mire,H Masakadza,BJ McCarthy,0,0,null,0,0,null,null
37,6.1,H Masakadza,SF Mire,TJ Murtagh,1,0,null,1,0,null,null
38,6.2,SF Mire,H Masakadza,TJ Murtagh,1,0,null,1,0,null,null
