,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
1,0.2,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
2,0.3,CJ Chibhabha,R Mutumbami,JF Mooney,0,1,wides ,1,0,null,null
3,0.4,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
4,0.5,CJ Chibhabha,R Mutumbami,JF Mooney,0,4,legbyes ,4,0,null,null
5,0.6,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
6,0.7,CJ Chibhabha,R Mutumbami,JF Mooney,1,0,null,1,0,null,null
7,1.1,CJ Chibhabha,R Mutumbami,TJ Murtagh,1,0,null,1,0,null,null
8,1.2,R Mutumbami,CJ Chibhabha,TJ Murtagh,0,1,legbyes ,1,0,null,null
9,1.3,CJ Chibhabha,R Mutumbami,TJ Murtagh,2,0,null,2,0,null,null
10,1.4,CJ Chibhabha,R Mutumbami,TJ Murtagh,2,0,null,2,0,null,null
11,1.5,CJ Chibhabha,R Mutumbami,TJ Murtagh,4,0,null,4,0,null,null
12,1.6,CJ Chibhabha,R Mutumbami,TJ Murtagh,0,1,legbyes ,1,0,null,null
13,2.1,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
14,2.2,CJ Chibhabha,R Mutumbami,JF Mooney,4,0,null,4,0,null,null
15,2.3,CJ Chibhabha,R Mutumbami,JF Mooney,1,0,null,1,0,null,null
16,2.4,R Mutumbami,CJ Chibhabha,JF Mooney,1,0,null,1,0,null,null
17,2.5,CJ Chibhabha,R Mutumbami,JF Mooney,0,0,null,0,0,null,null
18,2.6,CJ Chibhabha,R Mutumbami,JF Mooney,1,0,null,1,0,null,null
19,3.1,CJ Chibhabha,R Mutumbami,TJ Murtagh,0,0,null,0,0,null,null
20,3.2,CJ Chibhabha,R Mutumbami,TJ Murtagh,4,0,null,4,0,null,null
21,3.3,CJ Chibhabha,R Mutumbami,TJ Murtagh,0,0,null,0,0,null,null
22,3.4,CJ Chibhabha,R Mutumbami,TJ Murtagh,0,0,null,0,0,null,null
