,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,V Sibanda,Mohammad Irfan,1,0,null,1,0,null,null
1,0.2,V Sibanda,H Masakadza,Mohammad Irfan,0,0,null,0,0,null,null
2,0.3,V Sibanda,H Masakadza,Mohammad Irfan,0,2,wides ,2,0,null,null
3,0.4,H Masakadza,V Sibanda,Mohammad Irfan,0,0,null,0,0,null,null
4,0.5,H Masakadza,V Sibanda,Mohammad Irfan,1,0,null,1,0,null,null
5,0.6,V Sibanda,H Masakadza,Mohammad Irfan,1,0,null,1,0,null,null
6,0.7,H Masakadza,V Sibanda,Mohammad Irfan,0,0,null,0,0,null,null
7,1.1,V Sibanda,H Masakadza,Abdur Rehman,0,0,null,0,0,null,null
8,1.2,V Sibanda,H Masakadza,Abdur Rehman,1,0,null,1,0,null,null
9,1.3,H Masakadza,V Sibanda,Abdur Rehman,0,0,null,0,0,null,null
10,1.4,H Masakadza,V Sibanda,Abdur Rehman,0,0,null,0,0,null,null
11,1.5,H Masakadza,V Sibanda,Abdur Rehman,0,0,null,0,0,null,null
12,1.6,H Masakadza,V Sibanda,Abdur Rehman,0,0,null,0,0,null,null
13,2.1,V Sibanda,H Masakadza,Mohammad Irfan,0,0,null,0,0,null,null
14,2.2,V Sibanda,H Masakadza,Mohammad Irfan,0,0,null,0,1,V Sibanda,caught
15,2.3,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
16,2.4,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
17,2.5,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
18,2.6,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
19,3.1,BRM Taylor,H Masakadza,Abdur Rehman,0,0,null,0,0,null,null
20,3.2,BRM Taylor,H Masakadza,Abdur Rehman,0,0,null,0,0,null,null
21,3.3,BRM Taylor,H Masakadza,Abdur Rehman,4,0,null,4,0,null,null
22,3.4,BRM Taylor,H Masakadza,Abdur Rehman,4,0,null,4,0,null,null
23,3.5,BRM Taylor,H Masakadza,Abdur Rehman,2,0,null,2,0,null,null
24,3.6,BRM Taylor,H Masakadza,Abdur Rehman,1,0,null,1,0,null,null
25,4.1,BRM Taylor,H Masakadza,Mohammad Irfan,0,0,null,0,0,null,null
26,4.2,BRM Taylor,H Masakadza,Mohammad Irfan,1,0,null,1,0,null,null
27,4.3,H Masakadza,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
28,4.4,H Masakadza,BRM Taylor,Mohammad Irfan,0,1,noballs ,1,0,null,null
29,4.5,H Masakadza,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
30,4.6,H Masakadza,BRM Taylor,Mohammad Irfan,1,0,null,1,0,null,null
31,4.7,BRM Taylor,H Masakadza,Mohammad Irfan,0,0,null,0,0,null,null
32,5.1,H Masakadza,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
33,5.2,H Masakadza,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
34,5.3,H Masakadza,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
35,5.4,H Masakadza,BRM Taylor,Junaid Khan,1,0,null,1,0,null,null
36,5.5,BRM Taylor,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
37,5.6,BRM Taylor,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
38,6.1,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
39,6.2,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
40,6.3,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
41,6.4,H Masakadza,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
42,6.5,H Masakadza,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
43,6.6,H Masakadza,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
44,7.1,BRM Taylor,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
45,7.2,BRM Taylor,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
46,7.3,BRM Taylor,H Masakadza,Junaid Khan,1,0,null,1,0,null,null
47,7.4,H Masakadza,BRM Taylor,Junaid Khan,4,0,null,4,0,null,null
48,7.5,H Masakadza,BRM Taylor,Junaid Khan,0,0,null,0,1,H Masakadza,bowled
49,7.6,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
50,8.1,BRM Taylor,T Maruma,Mohammad Irfan,0,0,null,0,0,null,null
51,8.2,BRM Taylor,T Maruma,Mohammad Irfan,1,0,null,1,0,null,null
52,8.3,T Maruma,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
53,8.4,T Maruma,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
54,8.5,T Maruma,BRM Taylor,Mohammad Irfan,1,0,null,1,0,null,null
55,8.6,BRM Taylor,T Maruma,Mohammad Irfan,0,0,null,0,0,null,null
56,9.1,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
57,9.2,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
58,9.3,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
59,9.4,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
60,9.5,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
61,9.6,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
62,10.1,BRM Taylor,T Maruma,Mohammad Hafeez,0,0,null,0,0,null,null
63,10.2,BRM Taylor,T Maruma,Mohammad Hafeez,1,0,null,1,0,null,null
64,10.3,T Maruma,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
65,10.4,T Maruma,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
66,10.5,T Maruma,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
67,10.6,BRM Taylor,T Maruma,Mohammad Hafeez,6,0,null,6,0,null,null
68,11.1,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
69,11.2,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
70,11.3,T Maruma,BRM Taylor,Junaid Khan,0,1,legbyes ,1,0,null,null
71,11.4,BRM Taylor,T Maruma,Junaid Khan,0,0,null,0,0,null,null
72,11.5,BRM Taylor,T Maruma,Junaid Khan,0,0,null,0,0,null,null
73,11.6,BRM Taylor,T Maruma,Junaid Khan,0,0,null,0,0,null,null
74,12.1,T Maruma,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
75,12.2,BRM Taylor,T Maruma,Mohammad Hafeez,0,0,null,0,0,null,null
76,12.3,BRM Taylor,T Maruma,Mohammad Hafeez,2,0,null,2,0,null,null
77,12.4,BRM Taylor,T Maruma,Mohammad Hafeez,0,0,null,0,0,null,null
78,12.5,BRM Taylor,T Maruma,Mohammad Hafeez,1,0,null,1,0,null,null
79,12.6,T Maruma,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
80,13.1,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
81,13.2,T Maruma,BRM Taylor,Junaid Khan,2,0,null,2,0,null,null
82,13.3,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
83,13.4,T Maruma,BRM Taylor,Junaid Khan,1,0,null,1,0,null,null
84,13.5,BRM Taylor,T Maruma,Junaid Khan,1,0,null,1,0,null,null
85,13.6,T Maruma,BRM Taylor,Junaid Khan,0,0,null,0,0,null,null
86,14.1,BRM Taylor,T Maruma,Mohammad Hafeez,1,0,null,1,0,null,null
87,14.2,T Maruma,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
88,14.3,T Maruma,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
89,14.4,BRM Taylor,T Maruma,Mohammad Hafeez,1,0,null,1,0,null,null
90,14.5,T Maruma,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
91,14.6,T Maruma,BRM Taylor,Mohammad Hafeez,0,0,null,0,1,T Maruma,run out
92,15.1,BRM Taylor,SC Williams,Abdur Rehman,0,0,null,0,0,null,null
93,15.2,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
94,15.3,SC Williams,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
95,15.4,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
96,15.5,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
97,15.6,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
98,16.1,BRM Taylor,SC Williams,Mohammad Hafeez,4,0,null,4,0,null,null
99,16.2,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
100,16.3,SC Williams,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
101,16.4,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
102,16.5,SC Williams,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
103,16.6,SC Williams,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
104,17.1,BRM Taylor,SC Williams,Abdur Rehman,0,0,null,0,0,null,null
105,17.2,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
106,17.3,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
107,17.4,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
108,17.5,SC Williams,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
109,17.6,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
110,18.1,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
111,18.2,SC Williams,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
112,18.3,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
113,18.4,SC Williams,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
114,18.5,BRM Taylor,SC Williams,Mohammad Hafeez,0,0,null,0,0,null,null
115,18.6,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
116,19.1,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
117,19.2,SC Williams,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
118,19.3,BRM Taylor,SC Williams,Abdur Rehman,0,0,null,0,0,null,null
119,19.4,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
120,19.5,SC Williams,BRM Taylor,Abdur Rehman,2,0,null,2,0,null,null
121,19.6,SC Williams,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
122,20.1,SC Williams,BRM Taylor,Mohammad Hafeez,4,0,null,4,0,null,null
123,20.2,SC Williams,BRM Taylor,Mohammad Hafeez,0,0,null,0,0,null,null
124,20.3,SC Williams,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
125,20.4,BRM Taylor,SC Williams,Mohammad Hafeez,1,0,null,1,0,null,null
126,20.5,SC Williams,BRM Taylor,Mohammad Hafeez,1,0,null,1,0,null,null
127,20.6,BRM Taylor,SC Williams,Mohammad Hafeez,0,0,null,0,0,null,null
128,21.1,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
129,21.2,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
130,21.3,SC Williams,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
131,21.4,BRM Taylor,SC Williams,Abdur Rehman,4,0,null,4,0,null,null
132,21.5,BRM Taylor,SC Williams,Abdur Rehman,1,0,null,1,0,null,null
133,21.6,SC Williams,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
134,22.1,BRM Taylor,SC Williams,Saeed Ajmal,1,0,null,1,0,null,null
135,22.2,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
136,22.3,SC Williams,BRM Taylor,Saeed Ajmal,4,0,null,4,0,null,null
137,22.4,SC Williams,BRM Taylor,Saeed Ajmal,4,0,null,4,0,null,null
138,22.5,SC Williams,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
139,22.6,BRM Taylor,SC Williams,Saeed Ajmal,1,0,null,1,0,null,null
140,23.1,BRM Taylor,SC Williams,Shahid Afridi,0,0,null,0,0,null,null
141,23.2,BRM Taylor,SC Williams,Shahid Afridi,1,0,null,1,0,null,null
142,23.3,SC Williams,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
143,23.4,BRM Taylor,SC Williams,Shahid Afridi,0,0,null,0,0,null,null
144,23.5,BRM Taylor,SC Williams,Shahid Afridi,1,0,null,1,0,null,null
145,23.6,SC Williams,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
146,24.1,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
147,24.2,SC Williams,BRM Taylor,Saeed Ajmal,2,0,null,2,0,null,null
148,24.3,SC Williams,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
149,24.4,BRM Taylor,SC Williams,Saeed Ajmal,1,0,null,1,0,null,null
150,24.5,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
151,24.6,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
152,25.1,BRM Taylor,SC Williams,Shahid Afridi,0,0,null,0,0,null,null
153,25.2,BRM Taylor,SC Williams,Shahid Afridi,1,0,null,1,0,null,null
154,25.3,SC Williams,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
155,25.4,BRM Taylor,SC Williams,Shahid Afridi,4,0,null,4,0,null,null
156,25.5,BRM Taylor,SC Williams,Shahid Afridi,1,0,null,1,0,null,null
157,25.6,SC Williams,BRM Taylor,Shahid Afridi,4,0,null,4,0,null,null
158,26.1,BRM Taylor,SC Williams,Saeed Ajmal,0,0,null,0,0,null,null
159,26.2,BRM Taylor,SC Williams,Saeed Ajmal,0,0,null,0,0,null,null
160,26.3,BRM Taylor,SC Williams,Saeed Ajmal,1,0,null,1,0,null,null
161,26.4,SC Williams,BRM Taylor,Saeed Ajmal,2,0,null,2,0,null,null
162,26.5,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
163,26.6,SC Williams,BRM Taylor,Saeed Ajmal,0,0,null,0,1,SC Williams,stumped
164,27.1,BRM Taylor,MN Waller,Shahid Afridi,0,0,null,0,0,null,null
165,27.2,BRM Taylor,MN Waller,Shahid Afridi,0,1,legbyes ,1,0,null,null
166,27.3,MN Waller,BRM Taylor,Shahid Afridi,0,0,null,0,0,null,null
167,27.4,MN Waller,BRM Taylor,Shahid Afridi,0,0,null,0,0,null,null
168,27.5,MN Waller,BRM Taylor,Shahid Afridi,0,0,null,0,0,null,null
169,27.6,MN Waller,BRM Taylor,Shahid Afridi,0,1,wides ,1,0,null,null
170,27.7,MN Waller,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
171,28.1,MN Waller,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
172,28.2,BRM Taylor,MN Waller,Saeed Ajmal,4,0,null,4,0,null,null
173,28.3,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
174,28.4,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
175,28.5,BRM Taylor,MN Waller,Saeed Ajmal,1,0,null,1,0,null,null
176,28.6,MN Waller,BRM Taylor,Saeed Ajmal,4,0,null,4,0,null,null
177,29.1,BRM Taylor,MN Waller,Shahid Afridi,0,0,null,0,0,null,null
178,29.2,BRM Taylor,MN Waller,Shahid Afridi,0,0,null,0,0,null,null
179,29.3,BRM Taylor,MN Waller,Shahid Afridi,2,0,null,2,0,null,null
180,29.4,BRM Taylor,MN Waller,Shahid Afridi,1,0,null,1,0,null,null
181,29.5,MN Waller,BRM Taylor,Shahid Afridi,0,0,null,0,0,null,null
182,29.6,MN Waller,BRM Taylor,Shahid Afridi,4,0,null,4,0,null,null
183,30.1,BRM Taylor,MN Waller,Saeed Ajmal,1,0,null,1,0,null,null
184,30.2,MN Waller,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
185,30.3,MN Waller,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
186,30.4,MN Waller,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
187,30.5,BRM Taylor,MN Waller,Saeed Ajmal,1,0,null,1,0,null,null
188,30.6,MN Waller,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
189,31.1,MN Waller,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
190,31.2,BRM Taylor,MN Waller,Shahid Afridi,0,0,null,0,0,null,null
191,31.3,BRM Taylor,MN Waller,Shahid Afridi,1,0,null,1,0,null,null
192,31.4,MN Waller,BRM Taylor,Shahid Afridi,4,0,null,4,0,null,null
193,31.5,MN Waller,BRM Taylor,Shahid Afridi,1,0,null,1,0,null,null
194,31.6,BRM Taylor,MN Waller,Shahid Afridi,1,0,null,1,0,null,null
195,32.1,BRM Taylor,MN Waller,Abdur Rehman,0,0,null,0,0,null,null
196,32.2,BRM Taylor,MN Waller,Abdur Rehman,0,0,null,0,0,null,null
197,32.3,BRM Taylor,MN Waller,Abdur Rehman,0,0,null,0,0,null,null
198,32.4,BRM Taylor,MN Waller,Abdur Rehman,1,0,null,1,0,null,null
199,32.5,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
200,32.6,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
201,33.1,BRM Taylor,MN Waller,Mohammad Irfan,1,0,null,1,0,null,null
202,33.2,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
203,33.3,MN Waller,BRM Taylor,Mohammad Irfan,2,0,null,2,0,null,null
204,33.4,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
205,33.5,MN Waller,BRM Taylor,Mohammad Irfan,0,1,wides ,1,0,null,null
206,33.6,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
207,33.7,MN Waller,BRM Taylor,Mohammad Irfan,1,0,null,1,0,null,null
208,34.1,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
209,34.2,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
210,34.3,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
211,34.4,MN Waller,BRM Taylor,Abdur Rehman,1,0,null,1,0,null,null
212,34.5,BRM Taylor,MN Waller,Abdur Rehman,1,0,null,1,0,null,null
213,34.6,MN Waller,BRM Taylor,Abdur Rehman,0,0,null,0,0,null,null
214,35.1,BRM Taylor,MN Waller,Mohammad Irfan,1,0,null,1,0,null,null
215,35.2,MN Waller,BRM Taylor,Mohammad Irfan,2,0,null,2,0,null,null
216,35.3,MN Waller,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
217,35.4,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
218,35.5,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
219,35.6,MN Waller,BRM Taylor,Mohammad Irfan,0,1,legbyes ,1,0,null,null
220,36.1,MN Waller,BRM Taylor,Saeed Ajmal,4,0,null,4,0,null,null
221,36.2,MN Waller,BRM Taylor,Saeed Ajmal,0,1,legbyes ,1,0,null,null
222,36.3,BRM Taylor,MN Waller,Saeed Ajmal,1,0,null,1,0,null,null
223,36.4,MN Waller,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
224,36.5,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
225,36.6,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
226,37.1,MN Waller,BRM Taylor,Mohammad Irfan,0,0,null,0,0,null,null
227,37.2,MN Waller,BRM Taylor,Mohammad Irfan,1,0,null,1,0,null,null
228,37.3,BRM Taylor,MN Waller,Mohammad Irfan,1,0,null,1,0,null,null
229,37.4,MN Waller,BRM Taylor,Mohammad Irfan,1,0,null,1,0,null,null
230,37.5,BRM Taylor,MN Waller,Mohammad Irfan,0,1,legbyes ,1,0,null,null
231,37.6,MN Waller,BRM Taylor,Mohammad Irfan,4,0,null,4,0,null,null
232,38.1,BRM Taylor,MN Waller,Saeed Ajmal,1,0,null,1,0,null,null
233,38.2,MN Waller,BRM Taylor,Saeed Ajmal,0,0,null,0,0,null,null
234,38.3,MN Waller,BRM Taylor,Saeed Ajmal,1,0,null,1,0,null,null
235,38.4,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
236,38.5,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,0,null,null
237,38.6,BRM Taylor,MN Waller,Saeed Ajmal,0,0,null,0,1,BRM Taylor,caught
238,39.1,MN Waller,E Chigumbura,Junaid Khan,0,0,null,0,1,MN Waller,bowled
239,39.2,P Utseya,E Chigumbura,Junaid Khan,1,0,null,1,0,null,null
240,39.3,E Chigumbura,P Utseya,Junaid Khan,0,0,null,0,1,E Chigumbura,lbw
241,39.4,T Panyangara,P Utseya,Junaid Khan,0,0,null,0,0,null,null
242,39.5,T Panyangara,P Utseya,Junaid Khan,0,0,null,0,0,null,null
243,39.6,T Panyangara,P Utseya,Junaid Khan,0,0,null,0,0,null,null
244,40.1,P Utseya,T Panyangara,Abdur Rehman,0,0,null,0,0,null,null
245,40.2,P Utseya,T Panyangara,Abdur Rehman,1,0,null,1,0,null,null
246,40.3,T Panyangara,P Utseya,Abdur Rehman,0,0,null,0,0,null,null
247,40.4,T Panyangara,P Utseya,Abdur Rehman,0,0,null,0,0,null,null
248,40.5,T Panyangara,P Utseya,Abdur Rehman,0,0,null,0,0,null,null
249,40.6,T Panyangara,P Utseya,Abdur Rehman,0,1,legbyes ,1,0,null,null
250,41.1,T Panyangara,P Utseya,Junaid Khan,1,0,null,1,0,null,null
251,41.2,P Utseya,T Panyangara,Junaid Khan,1,0,null,1,0,null,null
252,41.3,T Panyangara,P Utseya,Junaid Khan,1,0,null,1,0,null,null
253,41.4,P Utseya,T Panyangara,Junaid Khan,0,0,null,0,1,P Utseya,bowled
254,41.5,TL Chatara,T Panyangara,Junaid Khan,0,0,null,0,0,null,null
255,41.6,TL Chatara,T Panyangara,Junaid Khan,1,0,null,1,0,null,null
256,42.1,TL Chatara,T Panyangara,Abdur Rehman,1,0,null,1,0,null,null
257,42.2,T Panyangara,TL Chatara,Abdur Rehman,1,0,null,1,0,null,null
258,42.3,TL Chatara,T Panyangara,Abdur Rehman,0,0,null,0,1,TL Chatara,caught
259,42.4,BV Vitori,T Panyangara,Abdur Rehman,0,0,null,0,1,BV Vitori,caught
