,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
1,0.2,S Matsikenyeri,BG Rogers,CK Langeveldt,0,1,wides ,1,0,null,null
2,0.3,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
3,0.4,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
4,0.5,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
5,0.6,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
6,0.7,S Matsikenyeri,BG Rogers,CK Langeveldt,0,0,null,0,0,null,null
7,1.1,BG Rogers,S Matsikenyeri,M Zondeki,1,0,null,1,0,null,null
8,1.2,S Matsikenyeri,BG Rogers,M Zondeki,0,0,null,0,0,null,null
9,1.3,S Matsikenyeri,BG Rogers,M Zondeki,0,1,wides ,1,0,null,null
10,1.4,S Matsikenyeri,BG Rogers,M Zondeki,0,0,null,0,0,null,null
11,1.5,S Matsikenyeri,BG Rogers,M Zondeki,0,0,null,0,0,null,null
12,1.6,S Matsikenyeri,BG Rogers,M Zondeki,0,1,wides ,1,0,null,null
13,1.7,S Matsikenyeri,BG Rogers,M Zondeki,4,0,null,4,0,null,null
14,1.8,S Matsikenyeri,BG Rogers,M Zondeki,0,0,null,0,0,null,null
15,2.1,BG Rogers,S Matsikenyeri,CK Langeveldt,0,1,noballs ,1,0,null,null
16,2.2,BG Rogers,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
17,2.3,BG Rogers,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
18,2.4,BG Rogers,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
19,2.5,BG Rogers,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
20,2.6,BG Rogers,S Matsikenyeri,CK Langeveldt,0,0,null,0,1,BG Rogers,caught
21,2.7,SC Williams,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
22,3.1,S Matsikenyeri,SC Williams,M Zondeki,0,1,wides ,1,0,null,null
23,3.2,S Matsikenyeri,SC Williams,M Zondeki,0,0,null,0,0,null,null
24,3.3,S Matsikenyeri,SC Williams,M Zondeki,1,0,null,1,0,null,null
25,3.4,SC Williams,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
26,3.5,SC Williams,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
27,3.6,SC Williams,S Matsikenyeri,M Zondeki,1,0,null,1,0,null,null
28,3.7,S Matsikenyeri,SC Williams,M Zondeki,0,0,null,0,0,null,null
29,4.1,SC Williams,S Matsikenyeri,CK Langeveldt,0,0,null,0,1,SC Williams,caught
30,4.2,H Masakadza,S Matsikenyeri,CK Langeveldt,0,1,noballs ,1,0,null,null
31,4.3,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
32,4.4,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
33,4.5,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
34,4.6,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
35,4.7,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
36,5.1,S Matsikenyeri,H Masakadza,M Zondeki,0,0,null,0,0,null,null
37,5.2,S Matsikenyeri,H Masakadza,M Zondeki,0,0,null,0,0,null,null
38,5.3,S Matsikenyeri,H Masakadza,M Zondeki,4,0,null,4,0,null,null
39,5.4,S Matsikenyeri,H Masakadza,M Zondeki,3,0,null,3,0,null,null
40,5.5,H Masakadza,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
41,5.6,H Masakadza,S Matsikenyeri,M Zondeki,1,0,null,1,0,null,null
42,6.1,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
43,6.2,H Masakadza,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
44,6.3,H Masakadza,S Matsikenyeri,CK Langeveldt,1,0,null,1,0,null,null
45,6.4,S Matsikenyeri,H Masakadza,CK Langeveldt,0,0,null,0,0,null,null
46,6.5,S Matsikenyeri,H Masakadza,CK Langeveldt,0,0,null,0,0,null,null
47,6.6,S Matsikenyeri,H Masakadza,CK Langeveldt,0,1,wides ,1,0,null,null
48,6.7,S Matsikenyeri,H Masakadza,CK Langeveldt,0,0,null,0,0,null,null
49,7.1,H Masakadza,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
50,7.2,H Masakadza,S Matsikenyeri,M Zondeki,0,0,null,0,1,H Masakadza,caught
51,7.3,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
52,7.4,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
53,7.5,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
54,7.6,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
55,8.1,S Matsikenyeri,BRM Taylor,CK Langeveldt,0,0,null,0,0,null,null
56,8.2,S Matsikenyeri,BRM Taylor,CK Langeveldt,1,0,null,1,0,null,null
57,8.3,BRM Taylor,S Matsikenyeri,CK Langeveldt,0,0,null,0,0,null,null
58,8.4,BRM Taylor,S Matsikenyeri,CK Langeveldt,2,0,null,2,0,null,null
59,8.5,BRM Taylor,S Matsikenyeri,CK Langeveldt,1,0,null,1,0,null,null
60,8.6,S Matsikenyeri,BRM Taylor,CK Langeveldt,0,0,null,0,0,null,null
61,9.1,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
62,9.2,BRM Taylor,S Matsikenyeri,M Zondeki,0,0,null,0,0,null,null
63,9.3,BRM Taylor,S Matsikenyeri,M Zondeki,1,0,null,1,0,null,null
64,9.4,S Matsikenyeri,BRM Taylor,M Zondeki,4,0,null,4,0,null,null
65,9.5,S Matsikenyeri,BRM Taylor,M Zondeki,0,0,null,0,0,null,null
66,9.6,S Matsikenyeri,BRM Taylor,M Zondeki,0,0,null,0,1,S Matsikenyeri,caught
67,10.1,BRM Taylor,T Taibu,CK Langeveldt,0,0,null,0,0,null,null
68,10.2,BRM Taylor,T Taibu,CK Langeveldt,0,0,null,0,0,null,null
69,10.3,BRM Taylor,T Taibu,CK Langeveldt,1,0,null,1,0,null,null
70,10.4,T Taibu,BRM Taylor,CK Langeveldt,0,0,null,0,0,null,null
71,10.5,T Taibu,BRM Taylor,CK Langeveldt,0,1,wides ,1,0,null,null
72,10.6,T Taibu,BRM Taylor,CK Langeveldt,0,0,null,0,0,null,null
73,10.7,T Taibu,BRM Taylor,CK Langeveldt,0,0,null,0,0,null,null
74,11.1,BRM Taylor,T Taibu,M Zondeki,0,0,null,0,0,null,null
75,11.2,BRM Taylor,T Taibu,M Zondeki,0,0,null,0,0,null,null
76,11.3,BRM Taylor,T Taibu,M Zondeki,0,0,null,0,0,null,null
77,11.4,BRM Taylor,T Taibu,M Zondeki,1,0,null,1,0,null,null
78,11.5,T Taibu,BRM Taylor,M Zondeki,0,0,null,0,0,null,null
79,11.6,T Taibu,BRM Taylor,M Zondeki,0,0,null,0,0,null,null
80,12.1,BRM Taylor,T Taibu,JM Kemp,0,0,null,0,0,null,null
81,12.2,BRM Taylor,T Taibu,JM Kemp,0,0,null,0,0,null,null
