,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211678,Riverside Ground,England,AF Giles,Left-arm orthodox,"[1, 0, 1]",0,25,31,1,1
1,211678,Riverside Ground,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,11,10,0,1
2,211678,Riverside Ground,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,10,12,2,0
3,211678,Riverside Ground,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,3,5,0,0
4,212020,Edgbaston,England,AF Giles,Left-arm orthodox,"[1, 0, 1]",0,28,31,2,0
5,212020,Edgbaston,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,3,16,0,0
6,212020,Edgbaston,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,10,6,2,0
7,212452,Lord's,England,AF Giles,Left-arm orthodox,"[1, 0, 1]",0,9,13,0,0
8,212452,Lord's,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,1,23,0,0
9,247491,"Sir Vivian Richards Stadium, North Sound",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
10,247491,"Sir Vivian Richards Stadium, North Sound",England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,9,9,2,0
11,249233,"Brisbane Cricket Ground, Woolloongabba",England,J Lewis,Right-arm medium,"[0, 1, 2]",1,4,6,1,0
12,249235,Sydney Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,1,8,0,0
13,249235,Sydney Cricket Ground,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,15,10,0,1
14,249235,Sydney Cricket Ground,England,RS Bopara,Right-arm medium,"[0, 1, 2]",0,1,3,0,0
15,249235,Sydney Cricket Ground,England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,12,9,2,0
16,249750,Sawai Mansingh Stadium,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,7,7,1,0
17,249750,Sawai Mansingh Stadium,England,JWM Dalrymple,Right-arm offbreak,"[1, 1, 0]",0,1,3,0,0
