,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211678,Riverside Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,10,0,0
1,211678,Riverside Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,3,4,0,0
2,212020,Edgbaston,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,4,6,0,0
3,212020,Edgbaston,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,21,12,5,0
4,212452,Lord's,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,2,3,0,0
5,212452,Lord's,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,0,5,0,0
6,247491,"Sir Vivian Richards Stadium, North Sound",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",1,3,6,0,0
7,249232,Melbourne Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,7,10,0,0
8,249233,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,11,11,0,1
9,249233,"Brisbane Cricket Ground, Woolloongabba",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,0,10,0,0
10,249234,Adelaide Oval,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,8,16,1,0
11,249234,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,2,9,0,0
12,249234,Adelaide Oval,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,7,9,1,0
13,249235,Sydney Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
14,249235,Sydney Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,7,8,1,0
15,249241,Sydney Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,6,3,1,0
16,249750,Sawai Mansingh Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,14,18,2,0
17,249750,Sawai Mansingh Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,4,6,0,0
18,249750,Sawai Mansingh Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,8,28,1,0
19,249750,Sawai Mansingh Stadium,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,3,8,0,0
20,249750,Sawai Mansingh Stadium,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,15,14,2,0
21,415285,SuperSport Park,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,5,5,1,0
22,415285,SuperSport Park,Australia,PM Siddle,Right-arm fast-medium,"[0, 1, 1]",1,9,5,0,1
23,446962,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,11,6,2,0
24,446962,Melbourne Cricket Ground,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,6,9,0,0
25,446962,Melbourne Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,15,19,2,0
26,446962,Melbourne Cricket Ground,Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,13,15,1,0
27,446962,Melbourne Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,9,6,1,0
28,446962,Melbourne Cricket Ground,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,9,12,1,0
29,446963,Bellerive Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,6,14,0,0
30,446963,Bellerive Oval,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",1,3,6,0,0
31,446963,Bellerive Oval,Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,10,11,2,0
32,446964,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,6,10,0,0
33,446964,Sydney Cricket Ground,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,6,10,0,0
34,446965,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,7,10,1,0
35,446965,Adelaide Oval,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,1,1,0,0
36,446966,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,2,13,0,0
37,446966,"Brisbane Cricket Ground, Woolloongabba",Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",1,1,4,0,0
38,446967,Sydney Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,16,16,2,0
39,446967,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,11,16,1,0
40,446967,Sydney Cricket Ground,Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,10,11,0,0
41,446967,Sydney Cricket Ground,Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,10,9,2,0
42,446968,Western Australia Cricket Association Ground,Australia,SW Tait,Right-arm fast,"[0, 1, 0]",1,0,2,0,0
43,66208,Edgbaston,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,8,7,1,0
44,66208,Edgbaston,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,12,6,2,0
45,66208,Edgbaston,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,7,9,0,0
46,66208,Edgbaston,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,15,12,2,0
47,66208,Edgbaston,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,10,8,1,0
48,211244,Kennington Oval,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,46,31,7,1
49,211244,Kennington Oval,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,7,14,1,0
50,211244,Kennington Oval,Bangladesh,Khaled Mahmud,Right-arm medium,"[0, 1, 2]",0,4,4,0,0
51,211244,Kennington Oval,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,16,23,1,0
52,211860,Headingley,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,27,28,5,0
53,211860,Headingley,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,29,28,2,0
54,211860,Headingley,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,10,16,0,0
55,247494,"Kensington Oval, Bridgetown",Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,13,18,1,1
56,247494,"Kensington Oval, Bridgetown",Bangladesh,Syed Rasel,Left-arm fast-medium,"[0, 0, 1]",1,9,19,1,0
57,433585,Zahur Ahmed Chowdhury Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,8,6,1,0
