,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,636159,Melbourne Cricket Ground,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,5,6,1,0
1,636159,Melbourne Cricket Ground,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,3,3,0,0
2,636159,Melbourne Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,3,3,0,0
3,636160,"Brisbane Cricket Ground, Woolloongabba",Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
4,636161,Sydney Cricket Ground,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,0,1,0,0
5,636161,Sydney Cricket Ground,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,0,2,0,0
6,636161,Sydney Cricket Ground,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,12,22,0,0
7,636161,Sydney Cricket Ground,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",1,3,14,0,0
8,636162,Western Australia Cricket Association Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,24,18,3,0
9,636162,Western Australia Cricket Association Ground,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,11,11,1,0
10,636162,Western Australia Cricket Association Ground,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,25,30,2,1
11,636162,Western Australia Cricket Association Ground,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,3,8,0,0
12,636163,Adelaide Oval,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
13,1029819,Shere Bangla National Stadium,Bangladesh,Mosaddek Hossain,Right-arm offbreak,"[1, 1, 0]",0,26,23,3,1
14,1029819,Shere Bangla National Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,3,5,0,0
15,1029819,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,4,8,0,0
16,1029819,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",1,20,27,2,0
17,1029819,Shere Bangla National Stadium,Bangladesh,Mosharraf Hossain,Left-arm orthodox,"[1, 0, 1]",0,18,11,0,2
18,1029819,Shere Bangla National Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,15,12,1,1
19,1029821,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
20,1029821,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,0,1,0,0
21,1029823,Zahur Ahmed Chowdhury Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,15,12,0,1
22,1029823,Zahur Ahmed Chowdhury Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,11,5,0,1
23,1029823,Zahur Ahmed Chowdhury Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,7,13,0,0
24,1144506,Old Trafford,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,1,3,0,0
25,1144506,Old Trafford,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,1,3,0,0
26,1022365,Edgbaston,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,43,28,8,0
27,1022365,Edgbaston,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,12,20,0,1
28,1022365,Edgbaston,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,1,2,0,0
29,1022365,Edgbaston,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,26,26,3,1
30,1022365,Edgbaston,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,8,21,0,0
31,1022365,Edgbaston,Australia,MC Henriques,Right-arm fast-medium,"[0, 1, 1]",0,6,6,1,0
32,1022365,Edgbaston,Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,6,6,1,0
33,1144514,Lord's,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,21,30,4,0
34,1144514,Lord's,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,8,12,0,0
35,1144514,Lord's,Australia,JP Behrendorff,Left-arm fast-medium,"[0, 0, 1]",0,5,10,1,0
36,1144514,Lord's,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,14,8,0,2
37,1144514,Lord's,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,25,32,2,0
38,1144514,Lord's,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,16,24,1,0
39,566942,Old Trafford,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",1,2,4,0,0
40,566944,Sophia Gardens,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,3,5,0,0
41,566944,Sophia Gardens,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,16,11,3,0
42,566944,Sophia Gardens,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
43,566945,The Rose Bowl,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,12,10,0,1
44,566945,The Rose Bowl,Australia,Fawad Ahmed,Right-arm legbreak,"[1, 1, 1]",0,5,3,1,0
45,566945,The Rose Bowl,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,5,3,1,0
46,743977,The Rose Bowl,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
47,743977,The Rose Bowl,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,1,2,0,0
48,743977,The Rose Bowl,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,9,8,1,0
49,743977,The Rose Bowl,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,2,10,0,0
50,743979,Lord's,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
51,743979,Lord's,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,4,2,0,0
52,743979,Lord's,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,4,2,1,0
53,743981,Old Trafford,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,9,12,1,0
54,743981,Old Trafford,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",1,5,9,0,0
55,743983,Headingley,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
56,743983,Headingley,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",1,11,17,1,0
57,743983,Headingley,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,12,6,3,0
58,743983,Headingley,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,9,15,0,0
59,743983,Headingley,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,8,15,1,0
60,743985,Old Trafford,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,18,21,3,0
61,743985,Old Trafford,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",1,11,16,0,1
62,743985,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,8,6,2,0
63,1144494,Sophia Gardens,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
64,1119546,Trent Bridge,India,S Kaul,Right-arm fast-medium,"[0, 1, 1]",0,6,10,0,0
65,1119546,Trent Bridge,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,20,29,1,0
66,1119546,Trent Bridge,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,10,32,0,0
67,1119546,Trent Bridge,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,10,17,1,0
68,1119546,Trent Bridge,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,3,9,0,0
69,1119547,Lord's,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,3,5,0,0
70,1119547,Lord's,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,2,3,0,0
71,1144520,Edgbaston,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",1,13,16,0,0
72,1144520,Edgbaston,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,26,12,3,1
73,1144520,Edgbaston,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,27,13,2,2
74,1144520,Edgbaston,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,2,4,0,0
75,1144520,Edgbaston,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,11,10,1,0
76,1276907,"Kennington Oval, London",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
77,1276908,"Lord's, London",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,4,7,0,0
78,1276908,"Lord's, London",India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",1,12,11,2,0
79,1276909,"Old Trafford, Manchester",India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,1,3,0,0
80,1276909,"Old Trafford, Manchester",India,Mohammed Siraj,Right-arm fast-medium,"[0, 1, 1]",0,12,13,2,0
81,1276909,"Old Trafford, Manchester",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,11,9,2,0
82,667725,Trent Bridge,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
83,667729,Headingley,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,9,7,0,1
84,667729,Headingley,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,16,10,3,0
85,1022357,Sophia Gardens,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,9,7,1,0
86,1022357,Sophia Gardens,New Zealand,CJ Anderson,Left-arm fast-medium,"[0, 0, 1]",0,15,16,0,2
87,1022357,Sophia Gardens,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,4,9,0,0
88,1022357,Sophia Gardens,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,6,7,1,0
89,1022357,Sophia Gardens,New Zealand,JDS Neesham,Right-arm medium,"[0, 1, 2]",0,11,10,2,0
90,1115775,Seddon Park,New Zealand,C Munro,Right-arm medium,"[0, 1, 2]",0,2,6,0,0
91,1115775,Seddon Park,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,3,6,0,0
