,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,249233,"Brisbane Cricket Ground, Woolloongabba",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",1,0,3,0,0
1,249235,Sydney Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,1,6,0,0
2,249235,Sydney Cricket Ground,England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",1,0,3,0,0
3,249240,Melbourne Cricket Ground,England,JWM Dalrymple,Right-arm offbreak,"[1, 1, 0]",0,4,5,0,0
4,249240,Melbourne Cricket Ground,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",1,1,5,0,0
5,249241,Sydney Cricket Ground,England,JWM Dalrymple,Right-arm offbreak,"[1, 1, 0]",1,14,10,1,1
6,249241,Sydney Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,18,12,3,0
7,249241,Sydney Cricket Ground,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,2,2,0,0
8,249241,Sydney Cricket Ground,England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,6,8,1,0
9,247466,"Warner Park, Basseterre",Netherlands,PW Borren,Right-arm medium,"[0, 1, 2]",1,45,35,2,3
10,247466,"Warner Park, Basseterre",Netherlands,RN ten Doeschate,Right-arm fast-medium,"[0, 1, 1]",0,16,13,2,0
11,247466,"Warner Park, Basseterre",Netherlands,Adeel Raja,Right-arm offbreak,"[1, 1, 0]",0,35,22,3,2
12,226364,Eden Park,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",1,8,18,1,0
13,249231,Melbourne Cricket Ground,New Zealand,MR Gillespie,Right-arm fast-medium,"[0, 1, 1]",0,8,6,0,0
14,249231,Melbourne Cricket Ground,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,10,19,0,0
15,249231,Melbourne Cricket Ground,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",0,26,13,4,0
16,247458,"Warner Park, Basseterre",Scotland,CM Wright,Right-arm fast-medium,"[0, 1, 1]",0,7,5,1,0
17,247458,"Warner Park, Basseterre",Scotland,GA Rogers,Right-arm offbreak,"[1, 1, 0]",1,5,11,0,0
18,247458,"Warner Park, Basseterre",Scotland,DR Brown,Right-arm fast,"[0, 1, 0]",0,6,5,0,0
19,226381,Adelaide Oval,Sri Lanka,M Muralitharan,Right-arm offbreak,"[1, 1, 0]",0,1,1,0,0
20,226381,Adelaide Oval,Sri Lanka,WCA Ganegama,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
21,226382,Western Australia Cricket Association Ground,Sri Lanka,M Muralitharan,Right-arm offbreak,"[1, 1, 0]",0,1,2,0,0
22,226382,Western Australia Cricket Association Ground,Sri Lanka,CRD Fernando,Right-arm fast-medium,"[0, 1, 1]",1,1,3,0,0
23,297793,M Chinnaswamy Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",1,0,3,0,0
24,297793,M Chinnaswamy Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,0,5,0,0
25,297794,Nehru Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",1,1,4,0,0
26,297794,Nehru Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,2,6,0,0
27,297795,"Rajiv Gandhi International Stadium, Uppal",India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
28,297795,"Rajiv Gandhi International Stadium, Uppal",India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,1,2,0,0
29,297796,Sector 16 Stadium,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,1,6,0,0
30,297796,Sector 16 Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",1,5,6,1,0
31,297796,Sector 16 Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,3,5,0,0
32,297796,Sector 16 Stadium,India,M Kartik,Left-arm orthodox,"[1, 0, 1]",0,4,10,0,0
33,297798,Vidarbha Cricket Association Ground,India,M Kartik,Left-arm orthodox,"[1, 0, 1]",1,1,6,0,0
34,297798,Vidarbha Cricket Association Ground,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,14,15,3,0
35,297799,Wankhede Stadium,India,M Kartik,Left-arm orthodox,"[1, 0, 1]",1,0,5,0,0
36,297799,Wankhede Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,4,11,0,0
37,251494,Westpac Stadium,New Zealand,MR Gillespie,Right-arm fast-medium,"[0, 1, 1]",0,8,18,1,0
38,251494,Westpac Stadium,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,5,4,1,0
39,251495,Eden Park,New Zealand,MR Gillespie,Right-arm fast-medium,"[0, 1, 1]",0,5,6,0,0
40,251495,Eden Park,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,7,7,1,0
41,251495,Eden Park,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",0,27,15,4,1
42,251496,Seddon Park,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,2,2,0,0
