,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144518,Headingley,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,12,24,1,0
1,1144518,Headingley,Afghanistan,Hamid Hassan,Right-arm fast,"[0, 1, 0]",0,9,6,2,0
2,1144518,Headingley,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,16,9,2,0
3,1153250,Sheikh Zayed Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,2,13,0,0
4,1153250,Sheikh Zayed Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,7,12,0,0
5,1153250,Sheikh Zayed Stadium,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,10,18,1,0
6,1000887,"Brisbane Cricket Ground, Woolloongabba",Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,10,11,1,0
7,1000887,"Brisbane Cricket Ground, Woolloongabba",Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,5,6,1,0
8,1000887,"Brisbane Cricket Ground, Woolloongabba",Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,6,8,0,0
9,1000887,"Brisbane Cricket Ground, Woolloongabba",Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,5,15,0,0
10,1000889,Melbourne Cricket Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,9,10,1,0
11,1000889,Melbourne Cricket Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,8,8,1,0
12,1000889,Melbourne Cricket Ground,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,8,11,1,0
13,1000889,Melbourne Cricket Ground,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,4,13,1,0
14,1000891,Western Australia Cricket Association Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,18,28,1,0
15,1000891,Western Australia Cricket Association Ground,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,11,18,1,0
16,1000891,Western Australia Cricket Association Ground,Australia,B Stanlake,Right-arm fast,"[0, 1, 0]",0,7,15,0,0
17,1000891,Western Australia Cricket Association Ground,Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,27,21,1,1
18,1000893,Sydney Cricket Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,10,13,1,0
19,1000893,Sydney Cricket Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,5,4,1,0
20,1000893,Sydney Cricket Ground,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,1,1,0,0
21,1000893,Sydney Cricket Ground,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,11,10,2,0
22,1000893,Sydney Cricket Ground,Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",1,4,11,0,0
23,1000895,Adelaide Oval,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,23,27,1,0
24,1000895,Adelaide Oval,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,12,16,1,0
25,1000895,Adelaide Oval,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,21,25,1,0
26,1000895,Adelaide Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,16,19,0,1
27,1000895,Adelaide Oval,Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,4,5,0,0
28,1144499,The Cooper Associates County Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,16,17,4,0
29,1144499,The Cooper Associates County Ground,Australia,KW Richardson,Right-arm fast-medium,"[0, 1, 1]",0,9,6,2,0
30,1144499,The Cooper Associates County Ground,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",1,5,5,1,0
31,1288313,"Gaddafi Stadium, Lahore",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,14,20,1,0
32,1288313,"Gaddafi Stadium, Lahore",Australia,NT Ellis,Right-arm fast-medium,"[0, 1, 1]",0,8,8,1,0
33,1288313,"Gaddafi Stadium, Lahore",Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,10,7,1,0
34,1288313,"Gaddafi Stadium, Lahore",Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,5,13,0,0
