,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1115797,Hagley Oval,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,0,2,0,0
1,1115797,Hagley Oval,New Zealand,MJ Henry,Right-arm fast-medium,"[0, 1, 1]",0,0,2,0,0
2,661689,Queenstown Events Centre,New Zealand,JD Ryder,Right-arm medium,"[0, 1, 2]",1,3,6,0,0
3,661689,Queenstown Events Centre,New Zealand,KD Mills,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
4,661691,Saxton Oval,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
5,415274,New Wanderers Stadium,Pakistan,Umar Gul,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
6,1077949,Providence Stadium,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
7,1077949,Providence Stadium,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",1,5,13,1,0
8,1077950,Providence Stadium,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",1,10,5,2,0
9,1077950,Providence Stadium,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,0,4,0,0
10,1077951,Providence Stadium,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,9,13,1,0
11,1077951,Providence Stadium,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
12,1077951,Providence Stadium,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,10,13,2,0
