,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,226382,Western Australia Cricket Association Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,4,6,0,0
1,226382,Western Australia Cricket Association Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,3,6,0,0
2,226382,Western Australia Cricket Association Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,6,5,1,0
3,226382,Western Australia Cricket Association Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,6,4,1,0
4,226382,Western Australia Cricket Association Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,3,4,0,0
5,236358,Adelaide Oval,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,15,6,0,2
6,236358,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,10,8,1,0
7,236595,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,0,1,0,0
8,236595,Sydney Cricket Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,1,2,0,0
9,236963,"Brisbane Cricket Ground, Woolloongabba",Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
10,236963,"Brisbane Cricket Ground, Woolloongabba",Australia,ML Lewis,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
11,236963,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,7,2,0,1
12,291364,Western Australia Cricket Association Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,2,15,0,0
13,291364,Western Australia Cricket Association Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,9,16,1,0
14,291364,Western Australia Cricket Association Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,9,14,1,0
15,291370,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,2,9,0,0
16,518970,Adelaide Oval,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
17,518970,Adelaide Oval,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,2,3,0,0
18,518970,Adelaide Oval,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,2,6,0,0
19,518970,Adelaide Oval,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
20,237574,Shaheed Chandu Stadium,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",1,0,5,0,0
21,238169,Shaheed Chandu Stadium,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,7,14,1,0
22,238169,Shaheed Chandu Stadium,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,2,6,0,0
23,238170,Chittagong Divisional Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,13,5,1,1
24,238170,Chittagong Divisional Stadium,Bangladesh,Syed Rasel,Left-arm fast-medium,"[0, 0, 1]",1,2,3,0,0
25,238170,Chittagong Divisional Stadium,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,1,1,0,0
26,335348,Gaddafi Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,22,23,1,1
27,335348,Gaddafi Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,6,6,0,0
28,335354,National Stadium,Bangladesh,Shahadat Hossain,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
29,335354,National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
30,378755,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,5,3,1,0
31,378755,Shere Bangla National Stadium,Bangladesh,Mahbubul Alam,Right-arm fast-medium,"[0, 1, 1]",1,2,3,0,0
32,378755,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
33,378755,Shere Bangla National Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,10,6,0,1
34,378755,Shere Bangla National Stadium,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,7,6,1,0
35,535799,Shere Bangla National Stadium,Bangladesh,Shahadat Hossain,Right-arm fast-medium,"[0, 1, 1]",0,5,7,0,0
36,535799,Shere Bangla National Stadium,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,7,13,0,0
37,535799,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,22,25,2,0
38,535799,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,6,16,0,0
39,535799,Shere Bangla National Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,9,11,1,0
40,225250,Lord's,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",1,1,3,0,0
41,291366,Adelaide Oval,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
42,291366,Adelaide Oval,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
43,291369,Bellerive Oval,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",0,16,19,2,0
44,291369,Bellerive Oval,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,9,11,1,0
45,291369,Bellerive Oval,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,5,4,0,0
46,291369,Bellerive Oval,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",1,11,12,1,0
47,291369,Bellerive Oval,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,10,24,1,0
48,335356,National Stadium,India,PP Ojha,Left-arm orthodox,"[1, 0, 1]",0,19,28,0,0
49,335356,National Stadium,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,6,6,1,0
50,335356,National Stadium,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,5,8,1,0
51,335356,National Stadium,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",1,10,11,1,0
52,335358,National Stadium,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",1,1,5,0,0
53,335358,National Stadium,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,4,6,1,0
54,430887,"Vidarbha Cricket Association Stadium, Jamtha",India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,2,3,0,0
55,430888,Barabati Stadium,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,3,10,0,0
56,430888,Barabati Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,4,4,0,0
57,430888,Barabati Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,1,3,0,0
58,433606,Wankhede Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,1,4,0,0
59,433606,Wankhede Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
60,452147,Queens Sports Club,India,PP Ojha,Left-arm orthodox,"[1, 0, 1]",0,2,3,0,0
61,452147,Queens Sports Club,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,2,5,0,0
62,452147,Queens Sports Club,India,A Mishra,Right-arm legbreak,"[1, 1, 1]",0,7,16,0,0
63,452147,Queens Sports Club,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,3,7,0,0
64,452150,Harare Sports Club,India,YK Pathan,Right-arm offbreak,"[1, 1, 0]",0,3,5,0,0
65,452150,Harare Sports Club,India,PP Ojha,Left-arm orthodox,"[1, 0, 1]",1,7,16,0,0
66,452150,Harare Sports Club,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,7,7,1,0
67,535795,Shere Bangla National Stadium,India,R Vinay Kumar,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
68,251492,Eden Park,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",0,2,2,0,0
69,251492,Eden Park,New Zealand,MR Gillespie,Right-arm fast-medium,"[0, 1, 1]",0,4,5,0,0
70,914207,Hagley Oval,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,0,4,0,0
71,914207,Hagley Oval,New Zealand,MJ Henry,Right-arm fast-medium,"[0, 1, 1]",0,2,7,0,0
72,914207,Hagley Oval,New Zealand,DAJ Bracewell,Right-arm fast-medium,"[0, 1, 1]",1,1,5,0,0
73,914209,Hagley Oval,New Zealand,DAJ Bracewell,Right-arm fast-medium,"[0, 1, 1]",0,11,9,2,0
74,914215,Bay Oval,New Zealand,IS Sodhi,Right-arm legbreak,"[1, 1, 1]",0,2,4,0,0
75,914215,Bay Oval,New Zealand,MJ Henry,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
76,335353,National Stadium,Pakistan,Wahab Riaz,Left-arm fast,"[0, 0, 0]",0,6,9,1,0
