,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,249750,Sawai Mansingh Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,0,1,0,0
1,249750,Sawai Mansingh Stadium,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
2,225245,Sophia Gardens,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",1,0,2,0,0
3,225246,Lord's,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,6,11,0,0
4,225246,Lord's,Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,11,5,1,1
5,225246,Lord's,Pakistan,Naved-ul-Hasan,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
6,225247,The Rose Bowl,Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",1,11,7,2,0
7,225247,The Rose Bowl,Pakistan,Naved-ul-Hasan,Right-arm fast-medium,"[0, 1, 1]",0,9,12,0,0
8,64846,Rangiri Dambulla International Stadium,Sri Lanka,UDU Chandana,Right-arm legbreak,"[1, 1, 1]",1,0,3,0,0
9,249755,"Sardar Patel Stadium, Motera",West Indies,MN Samuels,Right-arm offbreak,"[1, 1, 0]",0,1,2,0,0
10,249755,"Sardar Patel Stadium, Motera",West Indies,DJ Bravo,Right-arm fast-medium,"[0, 1, 1]",1,3,5,0,0
11,249745,Sawai Mansingh Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",1,1,4,0,0
12,249745,Sawai Mansingh Stadium,India,RR Powar,Right-arm offbreak,"[1, 1, 0]",0,1,3,0,0
