,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,800473,SuperSport Park,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,0,1,0,0
1,800473,SuperSport Park,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",1,7,3,0,1
2,800475,New Wanderers Stadium,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,10,8,1,0
3,800475,New Wanderers Stadium,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,7,11,0,0
4,800475,New Wanderers Stadium,England,RJW Topley,Left-arm fast-medium,"[0, 0, 1]",0,2,6,0,0
5,800475,New Wanderers Stadium,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",1,1,7,0,0
6,800477,Newlands,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,8,7,2,0
7,800477,Newlands,England,RJW Topley,Left-arm fast-medium,"[0, 0, 1]",0,2,3,0,0
8,800477,Newlands,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,3,8,0,0
9,800477,Newlands,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,20,13,1,2
10,848843,SuperSport Park,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,2,4,0,0
11,848845,Senwes Park,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,3,5,0,0
12,848845,Senwes Park,New Zealand,IS Sodhi,Right-arm legbreak,"[1, 1, 1]",1,0,2,0,0
13,848845,Senwes Park,New Zealand,BM Wheeler,Left-arm fast-medium,"[0, 0, 1]",0,1,7,0,0
14,848847,Kingsmead,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,3,5,0,0
15,848847,Kingsmead,New Zealand,BM Wheeler,Left-arm fast-medium,"[0, 0, 1]",1,6,5,1,0
16,848847,Kingsmead,New Zealand,DAJ Bracewell,Right-arm fast-medium,"[0, 1, 1]",0,3,5,0,0
