,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,249233,"Brisbane Cricket Ground, Woolloongabba",Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,1,2,0,0
1,249233,"Brisbane Cricket Ground, Woolloongabba",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,4,13,1,0
2,249234,Adelaide Oval,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,8,5,2,0
3,249234,Adelaide Oval,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,0,6,0,0
4,249234,Adelaide Oval,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,3,13,0,0
5,249234,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,2,0,0
6,249235,Sydney Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,23,20,2,0
7,249235,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,11,10,1,0
8,249235,Sydney Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,13,22,2,0
9,249235,Sydney Cricket Ground,Australia,SW Tait,Right-arm fast,"[0, 1, 0]",1,23,27,4,0
10,249240,Melbourne Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,5,11,1,0
11,249241,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,5,9,1,0
12,249241,Sydney Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
13,247467,"Beausejour Stadium, Gros Islet",Canada,AC Cummins,Right-arm fast,"[0, 1, 0]",0,19,28,4,0
14,247467,"Beausejour Stadium, Gros Islet",Canada,GR Codrington,Right-arm fast-medium,"[0, 1, 1]",0,14,9,0,1
15,1029001,County Ground,Ireland,MA Wood,Right-arm fast,"[0, 1, 0]",0,15,14,2,0
16,1029003,Lord's,Ireland,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,3,12,0,0
17,1029003,Lord's,Ireland,JT Ball,Right arm Fast medium,"[0, 1, 1]",0,3,7,0,0
18,1029003,Lord's,Ireland,MA Wood,Right-arm fast,"[0, 1, 0]",0,8,17,1,0
19,247484,Providence Stadium,Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
20,433572,M Chinnaswamy Stadium,Ireland,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,3,6,0,0
