,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144518,Headingley,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",1,0,2,0,0
1,1153250,Sheikh Zayed Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",1,0,6,0,0
2,1144499,The Cooper Associates County Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,0,3,0,0
3,1288314,"Gaddafi Stadium, Lahore",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,2,6,0,0
4,1288314,"Gaddafi Stadium, Lahore",Australia,NT Ellis,Right-arm fast-medium,"[0, 1, 1]",0,6,7,1,0
5,1288314,"Gaddafi Stadium, Lahore",Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,14,11,0,1
6,1288314,"Gaddafi Stadium, Lahore",Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,11,7,2,0
7,1288315,"Gaddafi Stadium, Lahore",Australia,NT Ellis,Right-arm fast-medium,"[0, 1, 1]",1,5,3,1,0
8,1288315,"Gaddafi Stadium, Lahore",Australia,JP Behrendorff,Left-arm fast-medium,"[0, 0, 1]",0,12,9,2,0
9,1022371,Sophia Gardens,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,5,3,1,0
10,1022371,Sophia Gardens,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,12,11,2,0
11,1022371,Sophia Gardens,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
12,1022371,Sophia Gardens,England,JT Ball,Right arm Fast medium,"[0, 1, 1]",0,14,15,2,0
13,1022371,Sophia Gardens,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,15,17,1,1
14,1022371,Sophia Gardens,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",1,9,9,1,0
15,1144488,Trent Bridge,England,JC Archer,Right-arm fast,"[0, 1, 0]",0,13,15,2,0
16,1144488,Trent Bridge,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",1,3,9,0,0
17,1144488,Trent Bridge,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,3,8,0,0
18,1152841,Kennington Oval,England,JC Archer,Right-arm fast,"[0, 1, 0]",1,0,5,0,0
19,1152842,The Rose Bowl,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,28,22,1,2
20,1152842,The Rose Bowl,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,26,23,1,1
21,1152842,The Rose Bowl,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,9,7,1,0
22,1152842,The Rose Bowl,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,19,17,2,0
23,1152844,Trent Bridge,England,JC Archer,Right-arm fast,"[0, 1, 0]",0,6,5,1,0
24,1152844,Trent Bridge,England,JL Denly,Right-arm legbreak,"[1, 1, 1]",0,11,14,0,0
25,1152844,Trent Bridge,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,22,12,2,2
26,1152844,Trent Bridge,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,7,4,1,0
27,1239538,"Lord's, London",England,S Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,3,14,0,0
28,1239538,"Lord's, London",England,BA Carse,Right-arm fast,"[0, 1, 0]",0,1,7,0,0
29,1153244,Dubai International Cricket Stadium,Hong Kong,Ehsan Nawaz,Right-arm fast-medium,"[0, 1, 1]",0,12,10,1,0
30,1022375,Kennington Oval,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,14,16,2,0
31,1022375,Kennington Oval,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,7,17,1,0
32,1022375,Kennington Oval,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,15,19,1,0
33,1144504,Old Trafford,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,9,16,2,0
34,1144504,Old Trafford,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,15,21,1,0
35,1144504,Old Trafford,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
36,1144504,Old Trafford,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,14,17,0,1
37,1144504,Old Trafford,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,16,12,3,0
38,1144504,Old Trafford,India,V Shankar,Right-arm medium,"[0, 1, 2]",0,7,6,1,0
39,1311738,"Hazelaarweg, Rotterdam",Netherlands,VJ Kingma,Right-arm medium,"[0, 1, 2]",1,0,4,0,0
40,1115802,Basin Reserve,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,11,18,2,0
41,1115802,Basin Reserve,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,11,20,2,0
42,1115802,Basin Reserve,New Zealand,LH Ferguson,Right-arm fast,"[0, 1, 0]",0,19,18,0,1
43,1115804,University Oval,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,1,3,0,0
44,1115804,University Oval,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
45,1115806,Basin Reserve,New Zealand,MJ Henry,Right-arm fast-medium,"[0, 1, 1]",1,2,7,0,0
46,1115806,Basin Reserve,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,10,10,2,0
47,1144515,Edgbaston,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,4,6,1,0
