,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1040491,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
1,1040493,Greater Noida Sports Complex Ground,Afghanistan,Amir Hamza,Left-arm orthodox,"[1, 0, 1]",0,4,4,1,0
2,1040493,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,3,9,0,0
3,1040493,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
4,1040495,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,8,14,1,0
5,1040495,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,12,8,2,0
6,1040497,Greater Noida Sports Complex Ground,Afghanistan,Amir Hamza,Left-arm orthodox,"[1, 0, 1]",0,13,12,1,0
7,1040497,Greater Noida Sports Complex Ground,Afghanistan,Rahmat Shah,Right-arm legbreak,"[1, 1, 1]",0,2,3,0,0
8,1040497,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,13,25,1,0
9,1040497,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,7,11,1,0
10,1040499,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,1,2,0,0
11,1040499,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,3,6,0,0
12,1125472,Sharjah Cricket Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",1,1,6,0,0
