,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,226364,Eden Park,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,3,0,0
1,249229,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,3,0,0
2,249757,"Punjab Cricket Association Stadium, Mohali",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,2,8,0,0
3,249757,"Punjab Cricket Association Stadium, Mohali",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,3,8,0,0
4,64933,Eden Park,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,1,12,0,0
5,64933,Eden Park,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,1,10,0,0
6,64933,Eden Park,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,21,29,1,0
7,64933,Eden Park,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,8,12,1,0
8,64933,Eden Park,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,10,12,1,0
9,66385,Docklands Stadium,Australia,DS Lehmann,Left-arm orthodox,"[1, 0, 1]",0,7,13,0,0
10,66385,Docklands Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,13,11,0,0
11,66385,Docklands Stadium,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,10,8,1,0
12,66385,Docklands Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,8,6,0,0
13,66385,Docklands Stadium,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,9,7,0,0
14,66385,Docklands Stadium,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,3,8,0,0
15,66386,Sydney Cricket Ground,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,4,6,0,0
16,66386,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,4,14,0,0
17,66386,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
18,66386,Sydney Cricket Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,1,3,0,0
19,247487,"Sir Vivian Richards Stadium, North Sound",Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,11,8,0,0
20,247487,"Sir Vivian Richards Stadium, North Sound",Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,5,3,1,0
21,247487,"Sir Vivian Richards Stadium, North Sound",Bangladesh,Syed Rasel,Left-arm fast-medium,"[0, 0, 1]",0,3,8,0,0
22,247487,"Sir Vivian Richards Stadium, North Sound",Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,15,19,1,0
23,66305,Riverside Ground,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",1,1,3,0,0
24,66305,Riverside Ground,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,4,6,1,0
25,247492,Providence Stadium,Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,3,2,0,0
26,247492,Providence Stadium,Ireland,DT Johnston,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
27,64935,Basin Reserve,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,3,9,0,0
28,64935,Basin Reserve,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
