,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,226377,Docklands Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,6,14,0,0
1,226377,Docklands Stadium,Australia,BR Dorey,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
2,226377,Docklands Stadium,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,11,17,1,0
3,226378,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,8,9,1,0
4,226378,Sydney Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,11,12,1,0
5,226378,Sydney Cricket Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,5,8,0,0
6,223542,St George's Park,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,4,18,0,0
7,223542,St George's Park,New Zealand,KD Mills,Right-arm fast-medium,"[0, 1, 1]",0,0,11,0,0
8,223542,St George's Park,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",0,7,14,1,0
9,64838,"Gaddafi Stadium, Lahore",Pakistan,Mohammad Sami,Right-arm fast-medium,"[0, 1, 1]",1,2,5,0,0
10,64838,"Gaddafi Stadium, Lahore",Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,1,2,0,0
11,64839,"Gaddafi Stadium, Lahore",Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,8,6,1,0
12,64839,"Gaddafi Stadium, Lahore",Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",1,8,14,0,0
13,64839,"Gaddafi Stadium, Lahore",Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",0,8,9,1,0
14,64840,"Iqbal Stadium, Faisalabad",Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,12,22,1,0
15,64840,"Iqbal Stadium, Faisalabad",Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,5,16,0,0
16,64840,"Iqbal Stadium, Faisalabad",Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",1,20,35,1,0
17,64841,Rawalpindi Cricket Stadium,Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
18,64841,Rawalpindi Cricket Stadium,Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",0,5,11,1,0
19,64841,Rawalpindi Cricket Stadium,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",1,5,12,1,0
20,64842,Rawalpindi Cricket Stadium,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,2,1,0,0
21,64842,Rawalpindi Cricket Stadium,Pakistan,Mohammad Sami,Right-arm fast-medium,"[0, 1, 1]",0,8,6,1,0
22,64842,Rawalpindi Cricket Stadium,Pakistan,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,1,6,0,0
23,64842,Rawalpindi Cricket Stadium,Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",0,0,7,0,0
24,64872,Carisbrook,New Zealand,MJ Mason,Right-arm fast-medium,"[0, 1, 1]",0,16,11,1,0
25,64872,Carisbrook,New Zealand,CL Cairns,Right-arm fast-medium,"[0, 1, 1]",0,10,19,1,0
26,64872,Carisbrook,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",0,18,16,2,0
27,64872,Carisbrook,New Zealand,KD Mills,Right-arm fast-medium,"[0, 1, 1]",0,4,7,0,0
28,226383,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,M Muralitharan,Right-arm offbreak,"[1, 1, 0]",0,2,4,0,0
29,226383,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,TM Dilshan,Right-arm offbreak,"[1, 1, 0]",0,12,10,2,0
30,226383,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,WPUJC Vaas,Left-arm fast-medium,"[0, 0, 1]",0,9,23,1,0
31,226384,Adelaide Oval,Sri Lanka,M Muralitharan,Right-arm offbreak,"[1, 1, 0]",0,6,13,0,0
32,226384,Adelaide Oval,Sri Lanka,TM Dilshan,Right-arm offbreak,"[1, 1, 0]",1,3,10,0,0
33,226385,Western Australia Cricket Association Ground,Sri Lanka,M Muralitharan,Right-arm offbreak,"[1, 1, 0]",0,6,18,0,0
34,226385,Western Australia Cricket Association Ground,Sri Lanka,TM Dilshan,Right-arm offbreak,"[1, 1, 0]",0,2,2,0,0
35,226385,Western Australia Cricket Association Ground,Sri Lanka,ST Jayasuriya,Left-arm orthodox,"[1, 0, 1]",0,5,10,0,0
36,226385,Western Australia Cricket Association Ground,Sri Lanka,WPUJC Vaas,Left-arm fast-medium,"[0, 0, 1]",0,2,7,0,0
37,64905,Rangiri Dambulla International Stadium,Sri Lanka,MF Maharoof,Right-arm fast-medium,"[0, 1, 1]",0,6,15,0,0
38,64905,Rangiri Dambulla International Stadium,Sri Lanka,TM Dilshan,Right-arm offbreak,"[1, 1, 0]",0,4,3,0,0
39,64905,Rangiri Dambulla International Stadium,Sri Lanka,ST Jayasuriya,Left-arm orthodox,"[1, 0, 1]",0,3,6,0,0
40,64905,Rangiri Dambulla International Stadium,Sri Lanka,WS Jayantha,Right-arm offbreak,"[1, 1, 0]",0,6,4,1,0
41,64905,Rangiri Dambulla International Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
42,64905,Rangiri Dambulla International Stadium,Sri Lanka,KS Lokuarachchi,Right-arm legbreak,"[1, 1, 1]",1,4,4,0,0
43,64862,Newlands,West Indies,CD Collymore,Right-arm fast-medium,"[0, 1, 1]",0,6,10,0,0
44,66206,Kennington Oval,West Indies,IDR Bradshaw,Left-arm fast-medium,"[0, 0, 1]",0,10,5,0,1
45,66206,Kennington Oval,West Indies,DJ Bravo,Right-arm fast-medium,"[0, 1, 1]",0,6,12,0,0
46,66206,Kennington Oval,West Indies,CD Collymore,Right-arm fast-medium,"[0, 1, 1]",0,11,5,2,0
47,64932,The Wanderers Stadium,Zimbabwe,SC Williams,Left-arm orthodox,"[1, 0, 1]",0,6,10,0,0
48,64932,The Wanderers Stadium,Zimbabwe,S Matsikenyeri,Right-arm offbreak,"[1, 1, 0]",0,17,15,2,0
49,64934,Kingsmead,Zimbabwe,CB Mpofu,Right-arm medium,"[0, 1, 2]",0,7,9,1,0
50,64934,Kingsmead,Zimbabwe,H Masakadza,Right-arm medium,"[0, 1, 2]",1,0,1,0,0
51,64906,Sinhalese Sports Club,Sri Lanka,TM Dilshan,Right-arm offbreak,"[1, 1, 0]",0,11,16,0,0
52,64906,Sinhalese Sports Club,Sri Lanka,ST Jayasuriya,Left-arm orthodox,"[1, 0, 1]",0,9,9,0,0
53,64906,Sinhalese Sports Club,Sri Lanka,HMRKB Herath,Left-arm orthodox,"[1, 0, 1]",0,11,10,2,0
54,64906,Sinhalese Sports Club,Sri Lanka,UDU Chandana,Right-arm legbreak,"[1, 1, 1]",1,4,5,0,0
55,64906,Sinhalese Sports Club,Sri Lanka,KS Lokuarachchi,Right-arm legbreak,"[1, 1, 1]",0,12,15,0,0
56,64936,St George's Park,Zimbabwe,CB Mpofu,Right-arm medium,"[0, 1, 2]",0,10,13,2,0
57,64936,St George's Park,Zimbabwe,T Mupariwa,Right-arm fast-medium,"[0, 1, 1]",1,9,16,1,0
