,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1072310,Melbourne Cricket Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,29,23,2,1
1,1072310,Melbourne Cricket Ground,Australia,AJ Tye,Right-arm fast-medium,"[0, 1, 1]",0,23,30,1,0
2,1072310,Melbourne Cricket Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,56,42,8,1
3,1072310,Melbourne Cricket Ground,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,11,7,2,0
4,1072310,Melbourne Cricket Ground,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,47,37,2,3
5,1072310,Melbourne Cricket Ground,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,14,15,1,0
6,1072311,"Brisbane Cricket Ground, Woolloongabba",Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,2,4,0,0
7,1119537,Kennington Oval,Australia,B Stanlake,Right-arm fast,"[0, 1, 0]",1,0,2,0,0
8,1119540,Riverside Ground,Australia,MG Neser,Right-arm fast-medium,"[0, 1, 1]",0,17,14,3,0
9,1119540,Riverside Ground,Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",0,8,6,1,0
10,1119540,Riverside Ground,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",1,20,24,1,1
11,1119540,Riverside Ground,Australia,B Stanlake,Right-arm fast,"[0, 1, 0]",0,29,14,5,1
12,1119540,Riverside Ground,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,16,13,1,0
13,1144529,Edgbaston,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,10,16,2,0
14,1144529,Edgbaston,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,25,20,4,1
15,1144529,Edgbaston,Australia,JP Behrendorff,Left-arm fast-medium,"[0, 0, 1]",0,7,13,0,0
16,1144529,Edgbaston,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,13,6,1,1
17,1144529,Edgbaston,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,11,8,2,0
18,1198238,Old Trafford,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
19,1198238,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,3,8,0,0
20,1029819,Shere Bangla National Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,13,17,2,0
21,1029819,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,12,11,2,0
22,1029819,Shere Bangla National Stadium,Bangladesh,Mosaddek Hossain,Right-arm offbreak,"[1, 1, 0]",0,7,4,0,1
23,1029819,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,9,9,1,0
24,1029821,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",1,6,9,0,0
25,1029821,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,7,12,0,0
26,1022365,Edgbaston,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,4,2,1,0
27,1072312,Sydney Cricket Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,4,15,1,0
28,1072312,Sydney Cricket Ground,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,11,8,2,0
29,1072312,Sydney Cricket Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,4,6,1,0
30,1072313,Adelaide Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
31,1072314,Perth Stadium,Australia,AJ Tye,Right-arm fast-medium,"[0, 1, 1]",1,1,7,0,0
32,1072314,Perth Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,24,17,4,1
33,1072314,Perth Stadium,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,6,9,1,0
34,1072314,Perth Stadium,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,2,2,0,0
35,1072314,Perth Stadium,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,16,11,3,0
36,1119538,Sophia Gardens,Australia,AJ Tye,Right-arm fast-medium,"[0, 1, 1]",1,37,24,5,1
37,1119538,Sophia Gardens,Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",0,9,12,1,0
38,1119538,Sophia Gardens,Australia,KW Richardson,Right-arm fast-medium,"[0, 1, 1]",0,17,24,2,0
39,1119538,Sophia Gardens,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,29,27,2,1
40,1119539,Trent Bridge,Australia,AJ Tye,Right-arm fast-medium,"[0, 1, 1]",0,9,3,0,1
41,1119539,Trent Bridge,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,12,8,0,1
42,1119539,Trent Bridge,Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",0,14,6,2,1
43,1119539,Trent Bridge,Australia,B Stanlake,Right-arm fast,"[0, 1, 0]",0,29,22,4,1
44,1119539,Trent Bridge,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,12,10,1,0
45,1198239,Old Trafford,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,14,10,3,0
46,1198239,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,7,13,1,0
47,1198240,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,0,1,0,0
48,743977,The Rose Bowl,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,14,16,3,0
49,743977,The Rose Bowl,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,10,11,2,0
50,743977,The Rose Bowl,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,18,12,3,0
51,743977,The Rose Bowl,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",1,3,3,0,0
52,743977,The Rose Bowl,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,16,14,3,0
53,743977,The Rose Bowl,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,6,9,0,0
54,743979,Lord's,Australia,MR Marsh,Right-arm fast-medium,"[0, 1, 1]",0,7,7,1,0
55,743979,Lord's,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,13,11,3,0
56,743979,Lord's,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,1,2,0,0
57,743979,Lord's,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,10,14,2,0
58,743981,Old Trafford,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,9,7,1,0
59,743981,Old Trafford,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,18,9,3,0
60,743981,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,23,18,4,0
61,743983,Headingley,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,13,18,2,0
62,743983,Headingley,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,4,4,1,0
63,743985,Old Trafford,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,4,4,1,0
64,1022347,Kennington Oval,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",1,1,8,0,0
65,1144494,Sophia Gardens,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,33,25,4,1
66,1144494,Sophia Gardens,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,26,29,3,0
67,1144494,Sophia Gardens,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",0,29,25,3,0
68,1119546,Trent Bridge,India,S Kaul,Right-arm fast-medium,"[0, 1, 1]",0,9,9,1,0
69,1119546,Trent Bridge,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,5,4,1,0
70,1119546,Trent Bridge,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,2,2,0,0
71,1119546,Trent Bridge,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,7,5,1,0
72,1119546,Trent Bridge,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,15,15,3,0
73,1119547,Lord's,India,S Kaul,Right-arm fast-medium,"[0, 1, 1]",0,14,15,2,0
74,1119547,Lord's,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,2,4,0,0
75,1119547,Lord's,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,7,5,1,0
76,1119547,Lord's,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,9,5,0,1
77,1119547,Lord's,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,8,13,1,0
78,1144520,Edgbaston,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,2,5,0,0
79,1144520,Edgbaston,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,9,13,2,0
80,1144520,Edgbaston,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,20,14,1,1
81,1144520,Edgbaston,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,17,12,3,0
82,1144520,Edgbaston,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,18,15,1,1
83,1276907,"Kennington Oval, London",India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",1,0,4,0,0
84,1276907,"Kennington Oval, London",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,0,1,0,0
85,1276908,"Lord's, London",India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
86,1276908,"Lord's, London",India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,4,14,0,0
87,1276908,"Lord's, London",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,19,18,2,1
88,1276909,"Old Trafford, Manchester",India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
89,1276909,"Old Trafford, Manchester",India,Mohammed Siraj,Right-arm fast-medium,"[0, 1, 1]",0,13,6,2,0
90,1276909,"Old Trafford, Manchester",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,22,15,4,0
91,1029001,County Ground,Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
92,1029003,Lord's,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",0,5,5,1,0
93,1029003,Lord's,Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",0,7,11,1,0
94,1029003,Lord's,Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,8,17,1,0
95,1198249,The Rose Bowl,Ireland,CA Young,Right-arm medium,"[0, 1, 2]",1,1,4,0,0
96,1281444,"VRA Ground, Amstelveen",Netherlands,LV van Beek,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
97,1022357,Sophia Gardens,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,1,5,0,0
98,1022357,Sophia Gardens,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",1,5,5,1,0
99,1022357,Sophia Gardens,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,7,13,1,0
100,1115775,Seddon Park,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",0,9,21,1,0
101,1115775,Seddon Park,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,7,9,1,0
