,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1168509,Castle Avenue,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",1,8,7,1,0
1,1168509,Castle Avenue,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,1,5,0,0
2,1168512,"The Village, Malahide",Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",1,0,6,0,0
3,1168512,"The Village, Malahide",Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,3,8,0,0
4,656453,Western Australia Cricket Association Ground,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,0,4,0,0
5,656453,Western Australia Cricket Association Ground,India,MM Sharma,Right-arm fast-medium,"[0, 1, 1]",0,6,15,1,0
6,656453,Western Australia Cricket Association Ground,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
7,1168511,"The Village, Malahide",Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,16,9,1,1
8,1168511,"The Village, Malahide",Ireland,MR Adair,Right-arm fast,"[0, 1, 0]",0,3,2,0,0
9,1168511,"The Village, Malahide",Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,6,6,0,0
10,1168511,"The Village, Malahide",Ireland,J Little,Left-arm fast,"[0, 0, 0]",0,18,12,3,0
11,656489,Westpac Stadium,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,16,26,3,0
12,656489,Westpac Stadium,New Zealand,CJ Anderson,Left-arm fast-medium,"[0, 0, 1]",0,1,2,0,0
13,656489,Westpac Stadium,New Zealand,AF Milne,Right-arm fast,"[0, 1, 0]",0,2,6,0,0
14,656435,Sydney Cricket Ground,South Africa,M Morkel,Right-arm fast,"[0, 1, 0]",1,5,11,0,0
15,656435,Sydney Cricket Ground,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,0,2,0,0
16,656435,Sydney Cricket Ground,South Africa,KJ Abbott,Right-arm fast-medium,"[0, 1, 1]",0,5,8,1,0
17,722339,Kingsmead,South Africa,JP Duminy,Right-arm offbreak,"[1, 1, 0]",0,4,12,0,0
18,722339,Kingsmead,South Africa,Imran Tahir,Right-arm legbreak,"[1, 1, 1]",1,13,15,3,0
19,722341,New Wanderers Stadium,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",1,3,11,0,0
20,722341,New Wanderers Stadium,South Africa,F Behardien,Right-arm fast-medium,"[0, 1, 1]",0,12,8,0,1
21,722341,New Wanderers Stadium,South Africa,JP Duminy,Right-arm offbreak,"[1, 1, 0]",0,11,7,1,0
22,722341,New Wanderers Stadium,South Africa,Imran Tahir,Right-arm legbreak,"[1, 1, 1]",0,11,8,2,0
23,722343,Buffalo Park,South Africa,JP Duminy,Right-arm offbreak,"[1, 1, 0]",0,2,7,0,0
24,722343,Buffalo Park,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,1,6,0,0
25,722343,Buffalo Park,South Africa,Imran Tahir,Right-arm legbreak,"[1, 1, 1]",1,13,14,0,1
26,722343,Buffalo Park,South Africa,F Behardien,Right-arm fast-medium,"[0, 1, 1]",0,2,8,0,0
27,722345,St George's Park,South Africa,F Behardien,Right-arm fast-medium,"[0, 1, 1]",0,5,8,1,0
28,722345,St George's Park,South Africa,M Morkel,Right-arm fast,"[0, 1, 0]",0,0,5,0,0
29,1059711,Harare Sports Club,Sri Lanka,N Pradeep,Right-arm fast-medium,"[0, 1, 1]",0,11,13,1,0
30,1059711,Harare Sports Club,Sri Lanka,SS Pathirana,Left-arm orthodox,"[1, 0, 1]",0,14,12,0,1
31,1059711,Harare Sports Club,Sri Lanka,DAS Gunaratne,Right-arm medium,"[0, 1, 2]",0,21,24,1,1
32,1059714,Queens Sports Club,Sri Lanka,DAS Gunaratne,Right-arm medium,"[0, 1, 2]",0,1,2,0,0
33,915777,R Premadasa Stadium,Sri Lanka,GSNFG Jayasuriya,Left-arm orthodox,"[1, 0, 1]",1,6,10,0,0
34,915777,R Premadasa Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,0,3,0,0
35,915779,R Premadasa Stadium,Sri Lanka,TAM Siriwardana,Left-arm orthodox,"[1, 0, 1]",0,3,9,0,0
36,915779,R Premadasa Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,0,4,0,0
37,915781,Pallekele International Cricket Stadium,Sri Lanka,BAW Mendis,Right-arm offbreak,"[1, 1, 0]",1,2,4,0,0
38,915781,Pallekele International Cricket Stadium,Sri Lanka,TAM Siriwardana,Left-arm orthodox,"[1, 0, 1]",0,3,14,0,0
39,915781,Pallekele International Cricket Stadium,Sri Lanka,PVD Chameera,Right-arm fast,"[0, 1, 0]",0,1,8,0,0
40,656479,McLean Park,United Arab Emirates,AM Guruge,Left-arm fast-medium,"[0, 0, 1]",0,7,9,0,0
41,656479,McLean Park,United Arab Emirates,Mohammad Tauqir,Right-arm offbreak,"[1, 1, 0]",0,14,9,3,0
