,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144510,The Rose Bowl,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,5,13,0,0
1,1144510,The Rose Bowl,Afghanistan,Rahmat Shah,Right-arm legbreak,"[1, 1, 1]",0,1,4,0,0
2,1144510,The Rose Bowl,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,7,21,1,0
3,1144510,The Rose Bowl,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,20,12,2,1
4,1153253,Dubai International Cricket Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,5,8,0,0
5,1153253,Dubai International Cricket Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,6,9,1,0
6,1153253,Dubai International Cricket Stadium,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,6,3,1,0
7,1153253,Dubai International Cricket Stadium,Afghanistan,Javed Ahmadi,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
8,1119498,Holkar Cricket Stadium,Australia,KW Richardson,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
9,1119499,M.Chinnaswamy Stadium,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,12,16,2,0
10,1119499,M.Chinnaswamy Stadium,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,8,16,0,0
11,1119499,M.Chinnaswamy Stadium,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,17,16,2,0
12,1119499,M.Chinnaswamy Stadium,Australia,KW Richardson,Right-arm fast-medium,"[0, 1, 1]",1,8,8,0,0
13,1119499,M.Chinnaswamy Stadium,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,22,14,3,1
14,1119500,"Vidarbha Cricket Association Stadium, Jamtha",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,5,5,1,0
15,1144999,Melbourne Cricket Ground,Australia,PM Siddle,Right-arm fast-medium,"[0, 1, 1]",0,15,9,2,0
16,1144999,Melbourne Cricket Ground,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,6,8,0,0
17,1144999,Melbourne Cricket Ground,Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",0,5,8,0,0
18,1144999,Melbourne Cricket Ground,Australia,B Stanlake,Right-arm fast,"[0, 1, 0]",0,14,22,1,0
19,1144999,Melbourne Cricket Ground,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,21,13,4,0
20,1153255,Dubai International Cricket Stadium,Bangladesh,Nazmul Islam,Left-arm orthodox,"[1, 0, 1]",0,7,6,1,0
21,1153255,Dubai International Cricket Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,1,5,0,0
22,1153255,Dubai International Cricket Stadium,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",0,4,7,0,0
23,1153255,Dubai International Cricket Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,10,8,0,1
24,1153255,Dubai International Cricket Stadium,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
25,1144520,Edgbaston,England,JC Archer,Right-arm fast,"[0, 1, 0]",0,3,5,0,0
26,1144520,Edgbaston,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,0,1,0,0
27,1144520,Edgbaston,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,4,4,0,0
28,1119496,"MA Chidambaram Stadium, Chepauk",Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,13,13,2,0
29,1119496,"MA Chidambaram Stadium, Chepauk",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,7,12,1,0
30,1119496,"MA Chidambaram Stadium, Chepauk",Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,8,12,1,0
31,1119496,"MA Chidambaram Stadium, Chepauk",Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,5,9,0,0
32,1119497,Eden Gardens,Australia,KW Richardson,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
33,1119497,Eden Gardens,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
34,1119497,Eden Gardens,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,7,8,0,1
35,1168242,"Rajiv Gandhi International Stadium, Uppal",Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,21,24,3,0
36,1168242,"Rajiv Gandhi International Stadium, Uppal",Australia,JP Behrendorff,Left-arm fast-medium,"[0, 0, 1]",0,7,10,1,0
37,1168242,"Rajiv Gandhi International Stadium, Uppal",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,21,28,3,0
38,1168242,"Rajiv Gandhi International Stadium, Uppal",Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,13,7,0,1
39,1168242,"Rajiv Gandhi International Stadium, Uppal",Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,19,21,2,0
40,1168243,"Vidarbha Cricket Association Stadium, Jamtha",Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,5,7,0,0
41,1168243,"Vidarbha Cricket Association Stadium, Jamtha",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",1,6,5,1,0
42,1168244,JSCA International Stadium Complex,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,7,14,0,0
43,1168244,JSCA International Stadium Complex,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,7,8,1,0
44,1168244,JSCA International Stadium Complex,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,1,4,0,0
45,1168244,JSCA International Stadium Complex,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",1,11,13,2,0
46,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,5,6,0,0
47,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",0,2,3,0,0
48,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
49,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,1,1,0,0
50,1168246,Arun Jaitley Stadium,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,8,10,0,0
51,1168246,Arun Jaitley Stadium,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,23,16,3,1
52,1168246,Arun Jaitley Stadium,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,4,8,0,0
53,1168246,Arun Jaitley Stadium,Australia,JA Richardson,Right-arm fast,"[0, 1, 0]",1,2,7,0,0
54,1168246,Arun Jaitley Stadium,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,7,17,1,0
55,1034819,Maharashtra Cricket Association Stadium,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,23,16,3,0
