,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211678,Riverside Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,11,15,1,0
1,211678,Riverside Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,5,8,1,0
2,211678,Riverside Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,3,5,0,0
3,212452,Lord's,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,1,6,0,0
4,212452,Lord's,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,5,4,1,0
5,247491,"Sir Vivian Richards Stadium, North Sound",Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,18,15,1,0
6,247491,"Sir Vivian Richards Stadium, North Sound",Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,20,32,0,0
7,247491,"Sir Vivian Richards Stadium, North Sound",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,20,19,2,0
8,247491,"Sir Vivian Richards Stadium, North Sound",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,10,22,1,0
9,249232,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,14,18,1,0
10,249232,Melbourne Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,25,26,3,0
11,249232,Melbourne Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,6,6,0,0
12,249750,Sawai Mansingh Stadium,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
13,249750,Sawai Mansingh Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,0,2,0,0
14,446962,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,5,8,0,0
15,446962,Melbourne Cricket Ground,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,23,20,0,1
16,446962,Melbourne Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,2,3,0,0
17,446962,Melbourne Cricket Ground,Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,21,13,1,2
18,446962,Melbourne Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,7,11,0,0
19,446962,Melbourne Cricket Ground,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,17,20,1,0
20,446963,Bellerive Oval,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
21,446965,Adelaide Oval,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,9,7,1,0
22,446966,"Brisbane Cricket Ground, Woolloongabba",Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,14,13,2,0
23,446966,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,3,3,0,0
24,446966,"Brisbane Cricket Ground, Woolloongabba",Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,8,10,1,0
25,446967,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
26,446967,Sydney Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,5,7,0,0
27,446967,Sydney Cricket Ground,Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
28,446968,Western Australia Cricket Association Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,4,12,0,0
