,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211678,Riverside Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,0,6,0,0
1,211678,Riverside Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,0,9,0,0
2,212020,Edgbaston,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,9,12,1,0
3,212020,Edgbaston,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,2,7,0,0
4,212452,Lord's,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,3,13,0,0
5,212452,Lord's,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,3,4,0,0
6,66208,Edgbaston,Australia,DS Lehmann,Left-arm orthodox,"[1, 0, 1]",0,13,16,0,0
7,66208,Edgbaston,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,12,15,2,0
8,66208,Edgbaston,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,3,10,0,0
9,66208,Edgbaston,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,23,23,2,1
10,66208,Edgbaston,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,10,12,1,0
11,66208,Edgbaston,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,20,13,4,0
12,211244,Kennington Oval,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,13,13,2,0
13,211244,Kennington Oval,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,26,22,5,0
14,211244,Kennington Oval,Bangladesh,Khaled Mahmud,Right-arm medium,"[0, 1, 2]",0,32,17,6,0
15,211244,Kennington Oval,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,24,13,3,0
16,211860,Headingley,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,9,16,0,0
17,211860,Headingley,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,16,14,1,1
18,211860,Headingley,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,11,4,1,1
19,64843,"MA Aziz Stadium, Chittagong",Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,23,22,4,0
20,64844,"Bangabandhu National Stadium, Dhaka",Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,5,9,1,0
21,64845,"Bangabandhu National Stadium, Dhaka",Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,16,25,2,0
22,64845,"Bangabandhu National Stadium, Dhaka",Bangladesh,Khaled Mahmud,Right-arm medium,"[0, 1, 2]",1,17,20,2,0
23,213288,Kennington Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,6,0,0
