,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,571947,Sharjah Cricket Association Stadium,Afghanistan,Shapoor Zadran,Left-arm fast-medium,"[0, 0, 1]",0,0,1,0,0
1,571947,Sharjah Cricket Association Stadium,Afghanistan,Samiullah Shenwari,Right-arm legbreak,"[1, 1, 1]",1,25,29,1,1
2,571947,Sharjah Cricket Association Stadium,Afghanistan,Javed Ahmadi,Right-arm offbreak,"[1, 1, 0]",0,4,7,0,0
3,571947,Sharjah Cricket Association Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,7,15,0,0
4,211364,Sophia Gardens,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,16,13,2,0
5,211364,Sophia Gardens,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,7,8,1,0
6,211364,Sophia Gardens,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,8,32,0,0
7,211364,Sophia Gardens,Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",1,7,9,0,0
8,336201,Marrara Cricket Ground,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,2,9,0,0
9,336201,Marrara Cricket Ground,Bangladesh,Nazmul Hossain,Right-arm fast-medium,"[0, 1, 1]",0,7,16,1,0
10,336201,Marrara Cricket Ground,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,5,9,1,0
11,336202,Marrara Cricket Ground,Bangladesh,Shahadat Hossain,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
12,336202,Marrara Cricket Ground,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,0,3,0,0
13,336204,Marrara Cricket Ground,Bangladesh,Shahadat Hossain,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
14,336204,Marrara Cricket Ground,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,8,19,0,0
15,336204,Marrara Cricket Ground,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,1,6,0,0
16,433592,M Chinnaswamy Stadium,Canada,H Osinde,Right-arm fast-medium,"[0, 1, 1]",0,9,10,2,0
17,433592,M Chinnaswamy Stadium,Canada,HS Baidwan,Right-arm medium,"[0, 1, 2]",0,0,4,0,0
18,212020,Edgbaston,England,AF Giles,Left-arm orthodox,"[1, 0, 1]",0,0,1,0,0
19,212020,Edgbaston,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",1,1,2,0,0
20,212020,Edgbaston,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
21,212452,Lord's,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
22,247491,"Sir Vivian Richards Stadium, North Sound",England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,11,12,0,0
23,247491,"Sir Vivian Richards Stadium, North Sound",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,13,15,0,0
24,247491,"Sir Vivian Richards Stadium, North Sound",England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,10,7,1,0
25,249232,Melbourne Cricket Ground,England,JWM Dalrymple,Right-arm offbreak,"[1, 1, 0]",0,12,20,1,0
26,249232,Melbourne Cricket Ground,England,J Lewis,Right-arm medium,"[0, 1, 2]",0,11,10,1,0
27,249232,Melbourne Cricket Ground,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,14,24,1,0
28,249232,Melbourne Cricket Ground,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,4,5,0,0
29,249233,"Brisbane Cricket Ground, Woolloongabba",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,5,17,0,0
30,249233,"Brisbane Cricket Ground, Woolloongabba",England,J Lewis,Right-arm medium,"[0, 1, 2]",1,7,12,0,0
31,249233,"Brisbane Cricket Ground, Woolloongabba",England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,8,20,1,0
32,249235,Sydney Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",1,12,17,2,0
33,249235,Sydney Cricket Ground,England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,6,13,0,0
34,249240,Melbourne Cricket Ground,England,JWM Dalrymple,Right-arm offbreak,"[1, 1, 0]",0,14,10,0,1
35,249240,Melbourne Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,3,3,0,0
36,249240,Melbourne Cricket Ground,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,8,18,0,0
37,249241,Sydney Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",1,0,8,0,0
38,249241,Sydney Cricket Ground,England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,0,2,0,0
39,446962,Melbourne Cricket Ground,England,GP Swann,Right-arm offbreak,"[1, 1, 0]",0,11,22,0,0
40,446962,Melbourne Cricket Ground,England,MH Yardy,Left-arm orthodox,"[1, 0, 1]",0,9,10,0,0
41,446962,Melbourne Cricket Ground,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,10,11,1,0
42,446963,Bellerive Oval,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,4,13,0,0
43,446964,Sydney Cricket Ground,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,4,7,0,0
44,446965,Adelaide Oval,England,MH Yardy,Left-arm orthodox,"[1, 0, 1]",0,3,4,0,0
45,446965,Adelaide Oval,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,5,10,1,0
46,446965,Adelaide Oval,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,3,3,0,0
47,446966,"Brisbane Cricket Ground, Woolloongabba",England,ST Finn,Right-arm fast-medium,"[0, 1, 1]",0,23,15,5,0
48,446966,"Brisbane Cricket Ground, Woolloongabba",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,6,6,0,0
49,446967,Sydney Cricket Ground,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,31,22,2,1
50,446967,Sydney Cricket Ground,England,ST Finn,Right-arm fast-medium,"[0, 1, 1]",1,13,14,1,0
51,446967,Sydney Cricket Ground,England,MH Yardy,Left-arm orthodox,"[1, 0, 1]",0,13,12,0,0
52,636159,Melbourne Cricket Ground,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,7,4,1,0
53,636159,Melbourne Cricket Ground,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,7,12,1,0
54,636159,Melbourne Cricket Ground,England,RS Bopara,Right-arm medium,"[0, 1, 2]",0,5,9,0,0
55,636159,Melbourne Cricket Ground,England,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,5,3,1,0
56,636160,"Brisbane Cricket Ground, Woolloongabba",England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
57,636160,"Brisbane Cricket Ground, Woolloongabba",England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,10,7,2,0
58,636160,"Brisbane Cricket Ground, Woolloongabba",England,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
59,636161,Sydney Cricket Ground,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,11,10,0,0
60,636161,Sydney Cricket Ground,England,BA Stokes,Right-arm fast-medium,"[0, 1, 1]",0,10,6,2,0
61,636161,Sydney Cricket Ground,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,9,7,2,0
62,636161,Sydney Cricket Ground,England,RS Bopara,Right-arm medium,"[0, 1, 2]",1,2,3,0,0
63,636161,Sydney Cricket Ground,England,JC Tredwell,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
64,636163,Adelaide Oval,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,2,8,0,0
65,636163,Adelaide Oval,England,JC Tredwell,Right-arm offbreak,"[1, 1, 0]",0,1,4,0,0
66,636163,Adelaide Oval,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,0,4,0,0
67,66208,Edgbaston,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,13,9,2,0
68,66208,Edgbaston,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,9,4,1,0
69,221083,Docklands Stadium,ICC World XI,JH Kallis,Right-arm fast-medium,"[0, 1, 1]",0,4,2,0,0
70,221083,Docklands Stadium,ICC World XI,Shoaib Akhtar,Right-arm fast,"[0, 1, 0]",0,5,6,0,0
71,221337,Docklands Stadium,ICC World XI,M Ntini,Right-arm fast,"[0, 1, 0]",1,3,3,0,0
72,256608,Kinrara Academy Oval,India,AB Agarkar,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
73,256608,Kinrara Academy Oval,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",1,14,11,1,1
74,256608,Kinrara Academy Oval,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,13,18,3,0
75,256608,Kinrara Academy Oval,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,15,27,1,0
76,291359,"Brisbane Cricket Ground, Woolloongabba",India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,2,8,0,0
77,291362,Melbourne Cricket Ground,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,4,10,0,0
78,291362,Melbourne Cricket Ground,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,3,12,0,0
79,291365,Adelaide Oval,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",0,6,22,0,0
80,291365,Adelaide Oval,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,12,13,2,0
81,291365,Adelaide Oval,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,23,25,2,0
82,291365,Adelaide Oval,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,13,11,1,0
83,291365,Adelaide Oval,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,9,17,0,0
84,291368,Sydney Cricket Ground,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,5,5,0,0
85,291368,Sydney Cricket Ground,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,6,6,0,0
86,291368,Sydney Cricket Ground,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,10,11,0,0
