,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,545656,Sharjah Cricket Stadium,Afghanistan,Amir Hamza,Left-arm orthodox,"[1, 0, 1]",0,2,4,0,0
1,545656,Sharjah Cricket Stadium,Afghanistan,Shapoor Zadran,Left-arm fast-medium,"[0, 0, 1]",0,14,9,1,1
2,545656,Sharjah Cricket Stadium,Afghanistan,Samiullah Shenwari,Right-arm legbreak,"[1, 1, 1]",0,13,14,1,1
3,545656,Sharjah Cricket Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,3,16,0,0
4,392616,Dubai Sports City Cricket Stadium,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
5,392616,Dubai Sports City Cricket Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,12,10,2,0
6,392616,Dubai Sports City Cricket Stadium,Australia,BW Hilfenhaus,Right-arm fast-medium,"[0, 1, 1]",0,1,22,0,0
7,392616,Dubai Sports City Cricket Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,1,1,0,0
8,392617,Dubai Sports City Cricket Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,1,1,0,0
9,392617,Dubai Sports City Cricket Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",1,10,15,1,0
10,392617,Dubai Sports City Cricket Stadium,Australia,B Laughlin,Right-arm fast-medium,"[0, 1, 1]",0,0,2,0,0
11,392617,Dubai Sports City Cricket Stadium,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,1,4,0,0
12,392618,Sheikh Zayed Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,7,4,0,1
13,392618,Sheikh Zayed Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,2,8,0,0
14,392619,Sheikh Zayed Stadium,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,5,19,0,0
15,392619,Sheikh Zayed Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,11,20,0,0
16,392619,Sheikh Zayed Stadium,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,1,1,0,0
17,392620,Sheikh Zayed Stadium,Australia,B Laughlin,Right-arm fast-medium,"[0, 1, 1]",0,10,12,1,0
18,392620,Sheikh Zayed Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,1,4,0,0
19,392620,Sheikh Zayed Stadium,Australia,BW Hilfenhaus,Right-arm fast-medium,"[0, 1, 1]",0,17,11,4,0
20,392620,Sheikh Zayed Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,12,14,1,0
21,392620,Sheikh Zayed Stadium,Australia,DE Bollinger,Left-arm fast-medium,"[0, 0, 1]",0,7,8,1,0
22,415283,SuperSport Park,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,15,14,2,0
23,415283,SuperSport Park,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,5,10,0,0
24,415283,SuperSport Park,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",1,6,8,1,0
25,415283,SuperSport Park,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,7,16,0,0
26,433596,R Premadasa Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
27,571145,Sharjah Cricket Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,9,11,1,0
28,571145,Sharjah Cricket Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,0,1,0,0
29,571145,Sharjah Cricket Stadium,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,3,6,0,0
30,571145,Sharjah Cricket Stadium,Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,5,9,0,0
