,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211364,Sophia Gardens,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,23,30,3,0
1,211364,Sophia Gardens,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",1,5,8,0,0
2,211364,Sophia Gardens,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,21,23,2,0
3,211364,Sophia Gardens,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,17,9,3,0
4,247485,"Sir Vivian Richards Stadium, North Sound",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,5,6,1,0
5,247485,"Sir Vivian Richards Stadium, North Sound",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,1,4,0,0
6,336201,Marrara Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,1,5,0,0
7,336201,Marrara Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,4,13,0,0
8,336202,Marrara Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
9,336204,Marrara Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,2,7,0,0
10,211824,Old Trafford,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,6,13,1,0
11,211824,Old Trafford,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,20,11,1,2
12,211824,Old Trafford,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,13,24,0,0
13,211824,Old Trafford,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,3,12,0,0
14,211824,Old Trafford,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,13,24,0,0
15,211824,Old Trafford,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,3,4,0,0
16,212253,St Lawrence Ground,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,1,1,0,0
17,212253,St Lawrence Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,6,3,0,1
18,238173,Chittagong Divisional Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,2,4,0,0
19,238173,Chittagong Divisional Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,1,5,0,0
20,238175,Narayanganj Osmani Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,9,9,1,0
21,238175,Narayanganj Osmani Stadium,Australia,BR Dorey,Right-arm fast-medium,"[0, 1, 1]",0,1,6,0,0
22,247480,"Queen's Park Oval, Port of Spain",Bermuda,RDM Leverock,Right-arm fast-medium,"[0, 1, 1]",0,10,11,1,0
23,247480,"Queen's Park Oval, Port of Spain",Bermuda,S Mukuddem,Right-arm medium,"[0, 1, 2]",0,4,8,0,0
24,211244,Kennington Oval,England,J Lewis,Right-arm medium,"[0, 1, 2]",1,0,1,0,0
25,247494,"Kensington Oval, Bridgetown",England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
26,247494,"Kensington Oval, Bridgetown",England,SI Mahmood,Right-arm fast-medium,"[0, 1, 1]",0,0,3,0,0
27,247464,"Queen's Park Oval, Port of Spain",India,AB Agarkar,Right-arm fast-medium,"[0, 1, 1]",0,1,6,0,0
28,247464,"Queen's Park Oval, Port of Spain",India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,0,4,0,0
29,282688,Shere Bangla National Stadium,India,D Mongia,Left-arm orthodox,"[1, 0, 1]",1,11,12,1,0
30,282688,Shere Bangla National Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,7,4,1,0
31,282688,Shere Bangla National Stadium,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",0,7,4,1,0
32,282689,Shere Bangla National Stadium,India,RR Powar,Right-arm offbreak,"[1, 1, 0]",0,2,4,0,0
33,282689,Shere Bangla National Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,0,2,0,0
34,282689,Shere Bangla National Stadium,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
35,335352,National Stadium,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,14,20,3,0
36,335352,National Stadium,India,MS Gony,Right-arm fast-medium,"[0, 1, 1]",1,6,6,1,0
37,345470,Shere Bangla National Stadium,India,YK Pathan,Right-arm offbreak,"[1, 1, 0]",1,2,3,0,0
38,345470,Shere Bangla National Stadium,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,9,22,1,0
39,345470,Shere Bangla National Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,4,4,0,0
40,345470,Shere Bangla National Stadium,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,3,16,0,0
41,434260,Shere Bangla National Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,6,18,0,0
42,434260,Shere Bangla National Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,5,8,1,0
43,434260,Shere Bangla National Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
44,434263,Shere Bangla National Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",1,4,4,1,0
45,455232,Rangiri Dambulla International Stadium,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,13,28,1,0
