,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144513,The Rose Bowl,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,13,14,0,0
1,1144513,The Rose Bowl,Afghanistan,Rahmat Shah,Right-arm legbreak,"[1, 1, 1]",0,5,4,1,0
2,1144513,The Rose Bowl,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,27,23,2,0
3,1144513,The Rose Bowl,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,22,21,1,1
4,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
5,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,Fazalhaq Farooqi,Left-arm fast-medium,"[0, 0, 1]",1,1,2,0,0
6,656411,Manuka Oval,Afghanistan,Hamid Hassan,Right-arm fast,"[0, 1, 0]",0,17,12,2,0
7,656411,Manuka Oval,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,17,13,0,1
8,656411,Manuka Oval,Afghanistan,Shapoor Zadran,Left-arm fast-medium,"[0, 0, 1]",0,8,9,1,0
9,656411,Manuka Oval,Afghanistan,Samiullah Shenwari,Right-arm legbreak,"[1, 1, 1]",0,1,2,0,0
10,656411,Manuka Oval,Afghanistan,Javed Ahmadi,Right-arm offbreak,"[1, 1, 0]",0,9,7,1,0
11,1022355,Kennington Oval,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
12,1022355,Kennington Oval,Australia,MC Henriques,Right-arm fast-medium,"[0, 1, 1]",1,2,6,0,0
13,1022355,Kennington Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
14,1022355,Kennington Oval,Australia,TM Head,Right-arm offbreak,"[1, 1, 0]",0,4,7,0,0
15,1144508,Trent Bridge,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,16,23,1,0
16,1144508,Trent Bridge,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,25,22,3,0
17,1144508,Trent Bridge,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,29,27,2,1
18,1144508,Trent Bridge,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,11,11,1,0
19,1144508,Trent Bridge,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",0,21,17,2,0
20,1051297,Shere Bangla National Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,3,3,0,0
21,1051297,Shere Bangla National Stadium,Afghanistan,Naveen-ul-Haq,Right-arm fast-medium,"[0, 1, 1]",0,2,2,0,0
22,1051299,Shere Bangla National Stadium,Afghanistan,Naveen-ul-Haq,Right-arm fast-medium,"[0, 1, 1]",0,14,13,2,0
23,1051299,Shere Bangla National Stadium,Afghanistan,Rahmat Shah,Right-arm legbreak,"[1, 1, 1]",1,5,10,0,0
24,1051299,Shere Bangla National Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,12,12,1,0
25,1051301,Shere Bangla National Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,7,8,1,0
26,1051301,Shere Bangla National Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,2,2,0,0
27,1153252,Sheikh Zayed Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,2,14,0,0
28,1153252,Sheikh Zayed Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,2,4,0,0
29,1153252,Sheikh Zayed Stadium,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,11,6,1,1
