,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,390253,Willowmoore Park,Afghanistan,Khaliq Dad,Right-arm fast-medium,"[0, 1, 1]",1,4,3,1,0
1,390253,Willowmoore Park,Afghanistan,Hasti Gul,Right-arm medium,"[0, 1, 2]",0,22,24,5,0
2,390253,Willowmoore Park,Afghanistan,Dawlat Ahmadzai,Right-arm fast-medium,"[0, 1, 1]",0,10,6,2,0
3,390227,Willowmoore Park,Canada,H Osinde,Right-arm fast-medium,"[0, 1, 1]",1,0,8,0,0
4,325580,Clontarf Cricket Club Ground,Ireland,PC Connell,Right-arm legbreak,"[1, 1, 1]",1,0,1,0,0
5,390204,Willowmoore Park,Ireland,PC Connell,Right-arm legbreak,"[1, 1, 1]",0,27,24,3,1
6,390204,Willowmoore Park,Ireland,RM West,"Left arm Fast medium, Slow Left arm Orthodox",not known,0,22,31,4,0
7,390204,Willowmoore Park,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",0,25,30,3,0
8,390204,Willowmoore Park,Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,7,9,0,0
9,390204,Willowmoore Park,Ireland,DT Johnston,Right-arm fast-medium,"[0, 1, 1]",0,12,32,0,0
10,267389,Gymkhana Club Ground,Kenya,HA Varaiya,Left-arm orthodox,"[1, 0, 1]",1,1,3,0,0
11,267389,Gymkhana Club Ground,Kenya,SO Tikolo,,not known,0,1,2,0,0
12,247474,"Warner Park, Basseterre",Netherlands,Mohammad Kashif,Right-arm offbreak,"[1, 1, 0]",0,4,6,1,0
13,247474,"Warner Park, Basseterre",Netherlands,MBS Jonkman,Right-arm medium,"[0, 1, 2]",1,0,3,0,0
14,295785,"Civil Service Cricket Club, Stormont",Netherlands,RN ten Doeschate,Right-arm fast-medium,"[0, 1, 1]",0,8,12,1,0
15,295785,"Civil Service Cricket Club, Stormont",Netherlands,HJC Mol,Right arm Medium,"[0, 1, 2]",1,3,7,0,0
16,325579,Clontarf Cricket Club Ground,Netherlands,RN ten Doeschate,Right-arm fast-medium,"[0, 1, 1]",0,2,8,0,0
17,275789,Titwood,India,RP Singh,Left-arm fast-medium,"[0, 0, 1]",0,1,13,0,0
18,275789,Titwood,India,RR Powar,Right-arm offbreak,"[1, 1, 0]",0,13,18,0,1
19,275789,Titwood,India,MM Patel,Right-arm fast-medium,"[0, 1, 1]",0,7,15,0,0
20,504779,Mannofield Park,Netherlands,PW Borren,Right-arm medium,"[0, 1, 2]",0,6,8,1,0
21,504779,Mannofield Park,Netherlands,Mudassar Bukhari,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
22,247470,"Warner Park, Basseterre",South Africa,JH Kallis,Right-arm fast-medium,"[0, 1, 1]",0,1,5,0,0
23,247470,"Warner Park, Basseterre",South Africa,AJ Hall,Right-arm fast-medium,"[0, 1, 1]",0,0,5,0,0
