,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1040491,Greater Noida Sports Complex Ground,Afghanistan,Amir Hamza,Left-arm orthodox,"[1, 0, 1]",0,2,2,0,0
1,1040491,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,1,5,0,0
2,1040491,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,5,4,1,0
3,1040493,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,1,4,0,0
4,1040495,Greater Noida Sports Complex Ground,Afghanistan,Amir Hamza,Left-arm orthodox,"[1, 0, 1]",0,10,19,0,0
5,1040495,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,1,3,0,0
6,1040495,Greater Noida Sports Complex Ground,Afghanistan,Samiullah Shenwari,Right-arm legbreak,"[1, 1, 1]",1,7,9,0,0
7,1040495,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,4,7,1,0
8,1040499,Greater Noida Sports Complex Ground,Afghanistan,Fareed Ahmad,Left-arm fast-medium,"[0, 0, 1]",0,2,4,0,0
9,1040499,Greater Noida Sports Complex Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,4,14,0,0
10,1040499,Greater Noida Sports Complex Ground,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,3,6,0,0
11,1125472,Sharjah Cricket Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,2,4,0,0
12,1125472,Sharjah Cricket Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,2,3,0,0
13,1125474,Sharjah Cricket Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,0,3,0,0
14,1150146,"Civil Service Cricket Club, Stormont",Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,1,1,0,0
15,1150147,"Civil Service Cricket Club, Stormont",Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,2,7,0,0
16,810833,Dubai International Cricket Stadium,Afghanistan,Hamid Hassan,Right-arm fast,"[0, 1, 0]",0,1,2,0,0
17,810833,Dubai International Cricket Stadium,Afghanistan,Javed Ahmadi,Right-arm offbreak,"[1, 1, 0]",0,17,27,0,1
18,247496,"Kensington Oval, Bridgetown",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
19,247498,"Kensington Oval, Bridgetown",Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,6,5,0,0
20,247498,"Kensington Oval, Bridgetown",Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,3,5,0,0
21,433566,Shere Bangla National Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,3,2,0,0
22,433566,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,12,13,2,0
23,433566,Shere Bangla National Stadium,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,4,9,1,0
24,1029001,County Ground,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",1,8,23,0,0
25,1029001,County Ground,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,1,1,0,0
26,1029001,County Ground,England,JT Ball,Right arm Fast medium,"[0, 1, 1]",0,1,4,0,0
27,1029003,Lord's,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,3,4,0,0
28,1029003,Lord's,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
29,247484,Providence Stadium,England,MS Panesar,Left-arm orthodox,"[1, 0, 1]",0,13,16,0,0
30,247484,Providence Stadium,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
