,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144486,County Ground,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,1,5,0,0
1,1144486,County Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,10,11,2,0
2,1144486,County Ground,Australia,A Zampa,Right-arm legbreak,"[1, 1, 1]",0,31,14,4,2
3,1144486,County Ground,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,8,14,1,0
4,1144486,County Ground,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,1,7,0,0
5,571947,Sharjah Cricket Association Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,0,1,0,0
6,1144513,The Rose Bowl,Bangladesh,Mosaddek Hossain,Right-arm offbreak,"[1, 1, 0]",0,5,4,1,0
7,1144513,The Rose Bowl,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,5,5,0,0
8,1144513,The Rose Bowl,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",0,2,6,0,0
9,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,25,20,2,1
10,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",0,15,16,1,1
11,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,2,2,0,0
12,1299829,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,Shoriful Islam,Left-arm fast-medium,"[0, 0, 1]",1,14,15,1,0
13,656411,Manuka Oval,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",1,2,3,0,0
14,656411,Manuka Oval,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,0,1,0,0
15,656411,Manuka Oval,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,8,10,1,0
16,656411,Manuka Oval,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
17,656473,Sydney Cricket Ground,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,2,7,0,0
18,656473,Sydney Cricket Ground,England,JC Tredwell,Right-arm offbreak,"[1, 1, 0]",0,6,4,1,0
19,656473,Sydney Cricket Ground,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,4,2,1,0
20,656473,Sydney Cricket Ground,England,RS Bopara,Right-arm medium,"[0, 1, 2]",0,0,2,0,0
21,1144510,The Rose Bowl,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,5,5,0,0
22,1144510,The Rose Bowl,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,12,15,2,0
23,1144510,The Rose Bowl,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,4,6,0,0
24,1153253,Dubai International Cricket Stadium,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,13,8,2,0
25,710307,Shere Bangla National Stadium,India,A Mishra,Right-arm legbreak,"[1, 1, 1]",0,4,6,0,0
26,1150147,"Civil Service Cricket Club, Stormont",Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",0,8,10,0,0
27,1150147,"Civil Service Cricket Club, Stormont",Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,9,7,1,0
28,1150147,"Civil Service Cricket Club, Stormont",Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",1,15,7,1,1
29,1150147,"Civil Service Cricket Club, Stormont",Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,4,12,0,0
30,1150147,"Civil Service Cricket Club, Stormont",Ireland,Simi Singh,Right-arm offbreak,"[1, 1, 0]",0,4,15,0,0
31,1150147,"Civil Service Cricket Club, Stormont",Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
32,1168115,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,12,3,0,2
33,1168117,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,33,16,2,2
34,1168117,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,4,10,0,0
35,1168117,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,34,39,2,2
36,1168117,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,Simi Singh,Right-arm offbreak,"[1, 1, 0]",0,16,15,0,1
37,1168117,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",0,4,9,0,0
38,1168118,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,5,6,1,0
39,1168119,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,4,4,1,0
40,1168119,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",0,1,6,0,0
41,1244013,Sheikh Zayed Stadium,Ireland,CA Young,Right-arm medium,"[0, 1, 2]",0,9,5,0,1
42,1244013,Sheikh Zayed Stadium,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",0,2,8,0,0
43,1244013,Sheikh Zayed Stadium,Ireland,GJ Delany,Right-arm legbreak,"[1, 1, 1]",0,1,2,0,0
44,1244013,Sheikh Zayed Stadium,Ireland,Simi Singh,Right-arm offbreak,"[1, 1, 0]",0,3,12,0,0
45,1244013,Sheikh Zayed Stadium,Ireland,PR Stirling,Right-arm offbreak,"[1, 1, 0]",0,1,3,0,0
46,1244015,Sheikh Zayed Stadium,Ireland,Simi Singh,Right-arm offbreak,"[1, 1, 0]",0,0,1,0,0
47,810833,Dubai International Cricket Stadium,Ireland,CA Young,Right-arm medium,"[0, 1, 2]",0,2,7,0,0
48,810833,Dubai International Cricket Stadium,Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,24,10,2,2
49,810833,Dubai International Cricket Stadium,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",1,7,7,1,0
50,810833,Dubai International Cricket Stadium,Ireland,PR Stirling,Right-arm offbreak,"[1, 1, 0]",0,0,6,0,0
51,1295181,"West End Park International Cricket Stadium, Doha",Netherlands,CN Ackermann,Right-arm offbreak,"[1, 1, 0]",0,1,4,0,0
52,1295181,"West End Park International Cricket Stadium, Doha",Netherlands,BD Glover,Right-arm fast,"[0, 1, 0]",0,6,7,1,0
