,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,392616,Dubai Sports City Cricket Stadium,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",1,3,2,0,0
1,392616,Dubai Sports City Cricket Stadium,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,6,11,1,0
2,392616,Dubai Sports City Cricket Stadium,Australia,BW Hilfenhaus,Right-arm fast-medium,"[0, 1, 1]",0,0,1,0,0
3,571145,Sharjah Cricket Stadium,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,3,13,0,0
4,571145,Sharjah Cricket Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,20,17,3,0
5,571146,Sheikh Zayed Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,23,24,3,0
6,571146,Sheikh Zayed Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,13,14,2,0
7,571146,Sheikh Zayed Stadium,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,20,22,3,0
8,571146,Sheikh Zayed Stadium,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,7,11,1,0
9,571147,Sharjah Cricket Stadium,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,8,19,1,0
10,571147,Sharjah Cricket Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,11,18,2,0
11,571147,Sharjah Cricket Stadium,Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,11,13,2,0
12,571147,Sharjah Cricket Stadium,Australia,GJ Maxwell,Right-arm offbreak,"[1, 1, 0]",0,6,15,0,0
13,571147,Sharjah Cricket Stadium,Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,3,4,0,0
14,535794,Shere Bangla National Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,13,19,3,0
15,535794,Shere Bangla National Stadium,Bangladesh,Shahadat Hossain,Right-arm fast-medium,"[0, 1, 1]",0,7,9,0,0
16,535794,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,12,12,0,1
17,535794,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,8,8,1,0
18,535794,Shere Bangla National Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,6,11,0,0
19,535800,Shere Bangla National Stadium,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",1,9,8,2,0
20,535798,Shere Bangla National Stadium,India,YK Pathan,Right-arm offbreak,"[1, 1, 0]",0,13,16,0,0
21,535798,Shere Bangla National Stadium,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,32,19,4,1
22,535798,Shere Bangla National Stadium,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,8,15,1,0
23,578623,Edgbaston,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
24,578623,Edgbaston,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",1,1,6,0,0
25,589308,"MA Chidambaram Stadium, Chepauk",India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,20,22,1,0
26,589308,"MA Chidambaram Stadium, Chepauk",India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,14,17,1,0
27,589308,"MA Chidambaram Stadium, Chepauk",India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,11,24,1,0
28,589308,"MA Chidambaram Stadium, Chepauk",India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,19,27,1,0
29,589309,Eden Gardens,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,13,19,2,0
30,589309,Eden Gardens,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,23,21,3,0
31,589309,Eden Gardens,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,23,25,1,2
32,589310,Feroz Shah Kotla,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,5,16,0,0
33,589310,Feroz Shah Kotla,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,10,27,2,0
34,589310,Feroz Shah Kotla,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,15,19,2,0
35,601612,Clontarf Cricket Club Ground,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
36,601612,Clontarf Cricket Club Ground,Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,7,14,0,0
