,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1281444,"VRA Ground, Amstelveen",Netherlands,LV van Beek,Right-arm fast-medium,"[0, 1, 1]",1,27,22,2,2
1,1239538,"Lord's, London",Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",0,17,17,3,0
2,1239538,"Lord's, London",Pakistan,Saud Shakeel,Left-arm orthodox,"[1, 0, 1]",1,3,6,0,0
3,1239538,"Lord's, London",Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,8,7,1,0
4,1239538,"Lord's, London",Pakistan,Haris Rauf,Right-arm fast,"[0, 1, 0]",0,9,7,2,0
5,1276911,"Old Trafford, Manchester",South Africa,L Ngidi,Right-arm fast,"[0, 1, 0]",0,16,8,3,0
6,1281445,"VRA Ground, Amstelveen",Netherlands,LV van Beek,Right-arm fast-medium,"[0, 1, 1]",0,6,11,0,0
7,1281446,"VRA Ground, Amstelveen",Netherlands,PA van Meekeren,Right-arm fast,"[0, 1, 0]",1,8,6,2,0
8,1281446,"VRA Ground, Amstelveen",Netherlands,LV van Beek,Right-arm fast-medium,"[0, 1, 1]",0,26,11,5,0
9,1281446,"VRA Ground, Amstelveen",Netherlands,FJ Klaassen,Left-arm medium,"[0, 0, 2]",0,8,9,1,0
10,1239537,"Sophia Gardens, Cardiff",Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,6,4,1,0
11,1239537,"Sophia Gardens, Cardiff",Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",1,1,11,0,0
12,1239539,"Edgbaston, Birmingham",Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,15,10,3,0
13,1239539,"Edgbaston, Birmingham",Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",0,22,11,5,0
14,1239539,"Edgbaston, Birmingham",Pakistan,Haris Rauf,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
