,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,247503,"National Cricket Stadium, St George's",Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,13,18,1,0
1,247503,"National Cricket Stadium, St George's",Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",1,17,20,1,0
2,247503,"National Cricket Stadium, St George's",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,6,7,0,0
3,247503,"National Cricket Stadium, St George's",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,10,15,1,0
4,249228,Bellerive Oval,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,1,1,0,0
5,249228,Bellerive Oval,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,10,12,0,1
6,249228,Bellerive Oval,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,8,14,0,0
7,249228,Bellerive Oval,Australia,BW Hilfenhaus,Right-arm fast-medium,"[0, 1, 1]",0,13,13,1,0
8,249229,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,3,5,0,0
9,249229,Sydney Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,7,14,0,0
10,249229,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,1,4,0,0
11,249229,Sydney Cricket Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,8,16,1,0
12,249230,Western Australia Cricket Association Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",1,8,5,2,0
13,249230,Western Australia Cricket Association Ground,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,7,13,1,0
14,249231,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,10,8,1,0
15,249231,Melbourne Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",0,12,16,2,0
16,249231,Melbourne Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,9,20,0,0
