,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144529,Edgbaston,England,JC Archer,Right-arm fast,"[0, 1, 0]",0,2,7,0,0
1,1119498,Holkar Cricket Stadium,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",1,2,5,0,0
2,1119498,Holkar Cricket Stadium,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
3,1119499,M.Chinnaswamy Stadium,India,UT Yadav,Right-arm fast,"[0, 1, 0]",1,19,10,1,1
4,1119499,M.Chinnaswamy Stadium,India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,8,6,1,0
5,1119499,M.Chinnaswamy Stadium,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,15,13,1,0
6,1119499,M.Chinnaswamy Stadium,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,1,1,0,0
7,1119500,"Vidarbha Cricket Association Stadium, Jamtha",India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,9,7,0,0
8,1144997,Sydney Cricket Ground,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,10,16,0,0
9,1144997,Sydney Cricket Ground,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,12,12,0,1
10,1144997,Sydney Cricket Ground,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",1,28,15,4,1
11,1144998,Adelaide Oval,India,Mohammed Siraj,Right-arm fast-medium,"[0, 1, 1]",0,5,4,1,0
12,1144998,Adelaide Oval,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,3,4,0,0
13,1144998,Adelaide Oval,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,5,3,1,0
14,1144999,Melbourne Cricket Ground,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,9,7,0,0
15,1144999,Melbourne Cricket Ground,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",1,12,18,0,0
16,1144999,Melbourne Cricket Ground,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,9,11,0,0
17,1144999,Melbourne Cricket Ground,India,V Shankar,Right-arm medium,"[0, 1, 2]",0,9,9,1,0
18,1000891,Western Australia Cricket Association Ground,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,5,11,0,0
19,1000891,Western Australia Cricket Association Ground,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,5,7,0,0
20,1000891,Western Australia Cricket Association Ground,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,15,19,2,0
21,1000891,Western Australia Cricket Association Ground,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",1,23,19,3,0
22,1000891,Western Australia Cricket Association Ground,Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",0,10,6,1,0
23,1000895,Adelaide Oval,Pakistan,Wahab Riaz,Left-arm fast,"[0, 0, 0]",1,1,2,0,0
24,1174238,Sharjah Cricket Stadium,Pakistan,Mohammad Abbas,Right-arm fast-medium,"[0, 1, 1]",0,11,12,0,0
25,1174238,Sharjah Cricket Stadium,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,2,2,0,0
26,1174240,Sheikh Zayed Stadium,Pakistan,Mohammad Hasnain,Right-arm fast-medium,"[0, 1, 1]",0,16,6,4,0
27,1174240,Sheikh Zayed Stadium,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,10,10,1,0
28,1174240,Sheikh Zayed Stadium,Pakistan,Haris Sohail,Left-arm orthodox,"[1, 0, 1]",1,6,5,1,0
29,1174240,Sheikh Zayed Stadium,Pakistan,Yasir Shah,Right-arm legbreak,"[1, 1, 1]",0,9,14,0,0
30,1174241,Dubai International Cricket Stadium,Pakistan,Mohammad Hasnain,Right-arm fast-medium,"[0, 1, 1]",0,3,4,0,0
31,1174241,Dubai International Cricket Stadium,Pakistan,Yasir Shah,Right-arm legbreak,"[1, 1, 1]",0,2,4,0,0
32,1174242,Dubai International Cricket Stadium,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,1,1,0,0
33,1174242,Dubai International Cricket Stadium,Pakistan,Usman Shinwari,Left-arm fast-medium,"[0, 0, 1]",1,7,4,1,0
34,1168242,"Rajiv Gandhi International Stadium, Uppal",India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,5,6,0,0
35,1168242,"Rajiv Gandhi International Stadium, Uppal",India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,7,6,1,0
36,1168242,"Rajiv Gandhi International Stadium, Uppal",India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,5,13,0,0
37,1168243,"Vidarbha Cricket Association Stadium, Jamtha",India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,0,3,0,0
38,1168243,"Vidarbha Cricket Association Stadium, Jamtha",India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",1,13,14,2,0
39,1168243,"Vidarbha Cricket Association Stadium, Jamtha",India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,8,9,0,0
40,1168243,"Vidarbha Cricket Association Stadium, Jamtha",India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,12,16,0,0
41,1168244,JSCA International Stadium Complex,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,0,2,0,0
42,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,11,10,1,0
43,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,27,26,2,0
44,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,10,21,2,0
45,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",1,30,25,1,1
46,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,30,13,2,2
47,1168245,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,V Shankar,Right-arm medium,"[0, 1, 2]",0,9,10,0,0
48,1168246,Arun Jaitley Stadium,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,2,5,0,0
49,1168246,Arun Jaitley Stadium,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",1,4,5,0,0
50,1168246,Arun Jaitley Stadium,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,23,16,3,0
51,1168246,Arun Jaitley Stadium,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
52,1168246,Arun Jaitley Stadium,India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,6,4,1,0
53,1020013,Eden Park,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",0,5,3,1,0
54,1020013,Eden Park,New Zealand,TG Southee,Right-arm fast-medium,"[0, 1, 1]",1,2,4,0,0
55,1020017,Seddon Park,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,0,2,0,0
