,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,520600,Westpac Stadium,South Africa,M Morkel,Right-arm fast,"[0, 1, 0]",0,7,15,1,0
1,520600,Westpac Stadium,South Africa,LL Tsotsobe,Left-arm fast-medium,"[0, 0, 1]",0,4,18,0,0
2,520600,Westpac Stadium,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,15,18,3,0
3,520601,McLean Park,South Africa,LL Tsotsobe,Left-arm fast-medium,"[0, 0, 1]",1,1,4,0,0
4,520601,McLean Park,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,10,14,2,0
5,520602,Eden Park,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,5,8,0,0
6,520602,Eden Park,South Africa,M de Lange,Right-arm fast,"[0, 1, 0]",0,1,11,0,0
7,520602,Eden Park,South Africa,LL Tsotsobe,Left-arm fast-medium,"[0, 0, 1]",0,1,10,0,0
8,520592,University Oval,Zimbabwe,KO Meth,Right-arm medium,"[0, 1, 2]",1,0,6,0,0
9,520593,Cobham Oval (New),Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",0,30,14,3,2
10,520593,Cobham Oval (New),Zimbabwe,RW Price,Left-arm orthodox,"[1, 0, 1]",0,24,28,1,0
11,520593,Cobham Oval (New),Zimbabwe,H Masakadza,Right-arm medium,"[0, 1, 2]",0,13,15,0,0
12,520594,McLean Park,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",0,5,8,1,0
13,520594,McLean Park,Zimbabwe,RW Price,Left-arm orthodox,"[1, 0, 1]",0,22,20,0,2
14,567358,Boland Park,South Africa,LL Tsotsobe,Left-arm fast-medium,"[0, 0, 1]",1,4,4,1,0
15,567358,Boland Park,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",1,0,2,0,0
16,582188,Pallekele International Cricket Stadium,Sri Lanka,HMRKB Herath,Left-arm orthodox,"[1, 0, 1]",0,8,20,0,0
17,582188,Pallekele International Cricket Stadium,Sri Lanka,AD Mathews,Right-arm fast-medium,"[0, 1, 1]",0,8,8,0,0
18,582188,Pallekele International Cricket Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,9,16,1,0
19,582189,Pallekele International Cricket Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",1,2,10,0,0
20,582190,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,10,17,2,0
21,668961,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,1,1,0,0
22,668965,Rangiri Dambulla International Stadium,Sri Lanka,HMRKB Herath,Left-arm orthodox,"[1, 0, 1]",1,0,1,0,0
23,668965,Rangiri Dambulla International Stadium,Sri Lanka,AD Mathews,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
24,560923,"Sabina Park, Kingston",West Indies,R Rampaul,Right-arm fast-medium,"[0, 1, 1]",0,12,18,2,0
25,560924,"Sabina Park, Kingston",West Indies,R Rampaul,Right-arm fast-medium,"[0, 1, 1]",1,4,12,0,0
26,560925,"Warner Park, Basseterre",West Indies,DJG Sammy,Right-arm medium,"[0, 1, 2]",0,11,11,0,1
27,560925,"Warner Park, Basseterre",West Indies,R Rampaul,Right-arm fast-medium,"[0, 1, 1]",0,2,7,0,0
28,560925,"Warner Park, Basseterre",West Indies,DJ Bravo,Right-arm fast-medium,"[0, 1, 1]",0,20,17,2,1
29,560925,"Warner Park, Basseterre",West Indies,MN Samuels,Right-arm offbreak,"[1, 1, 0]",1,2,3,0,0
30,560925,"Warner Park, Basseterre",West Indies,SP Narine,Right-arm offbreak,"[1, 1, 0]",0,11,17,1,0
31,560926,"Warner Park, Basseterre",West Indies,SP Narine,Right-arm offbreak,"[1, 1, 0]",0,1,4,0,0
32,560926,"Warner Park, Basseterre",West Indies,DJG Sammy,Right-arm medium,"[0, 1, 2]",1,6,11,1,0
33,527014,Harare Sports Club,Zimbabwe,CB Mpofu,Right-arm medium,"[0, 1, 2]",0,22,28,3,0
34,527014,Harare Sports Club,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",0,28,18,5,0
35,527014,Harare Sports Club,Zimbabwe,CJ Chibhabha,Right-arm medium,"[0, 1, 2]",0,2,3,0,0
36,527014,Harare Sports Club,Zimbabwe,RW Price,Left-arm orthodox,"[1, 0, 1]",0,23,36,2,0
37,527014,Harare Sports Club,Zimbabwe,H Masakadza,Right-arm medium,"[0, 1, 2]",0,7,8,0,0
38,527015,Harare Sports Club,Zimbabwe,CB Mpofu,Right-arm medium,"[0, 1, 2]",0,4,7,0,0
39,527015,Harare Sports Club,Zimbabwe,KO Meth,Right-arm medium,"[0, 1, 2]",1,5,10,0,0
40,527016,Queens Sports Club,Zimbabwe,KO Meth,Right-arm medium,"[0, 1, 2]",1,5,11,1,0
