,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,64896,Arnos Vale Ground,Bangladesh,Khaled Mahmud,Right-arm medium,"[0, 1, 2]",1,5,8,0,0
1,64896,Arnos Vale Ground,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,14,19,1,0
2,64896,Arnos Vale Ground,Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,19,19,4,0
3,64898,National Cricket Stadium,Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,13,9,3,0
4,64894,Daren Sammy National Cricket Stadium,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
5,64894,Daren Sammy National Cricket Stadium,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,5,2,1,0
6,64894,Daren Sammy National Cricket Stadium,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,11,9,2,0
7,64894,Daren Sammy National Cricket Stadium,England,GJ Batty,Right-arm offbreak,"[1, 1, 0]",1,1,3,0,0
8,66309,Lord's,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,8,6,1,0
9,66309,Lord's,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,5,4,1,0
10,66309,Lord's,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,19,11,1,1
11,65665,W.A.C.A. Ground,Pakistan,Naved-ul-Hasan,Right-arm fast-medium,"[0, 1, 1]",1,8,14,1,0
12,65665,W.A.C.A. Ground,Pakistan,Mohammad Khalil,Left-arm medium,"[0, 0, 2]",0,4,6,0,0
13,65665,W.A.C.A. Ground,Pakistan,Iftikhar Anjum,Right-arm medium,"[0, 1, 2]",0,11,7,2,0
14,66209,The Rose Bowl,Pakistan,Shoaib Malik,Right-arm offbreak,"[1, 1, 0]",0,0,5,0,0
15,64862,Newlands,South Africa,M Ntini,Right-arm fast,"[0, 1, 0]",0,5,4,1,0
16,64862,Newlands,South Africa,A Nel,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
17,64865,SuperSport Park,South Africa,M Ntini,Right-arm fast,"[0, 1, 0]",0,16,11,3,0
18,64865,SuperSport Park,South Africa,JH Kallis,Right-arm fast-medium,"[0, 1, 1]",1,5,9,1,0
19,66206,Kennington Oval,South Africa,M Ntini,Right-arm fast,"[0, 1, 0]",1,1,6,0,0
20,214852,Rangiri Dambulla International Stadium,Sri Lanka,MF Maharoof,Right-arm fast-medium,"[0, 1, 1]",1,1,8,0,0
21,214852,Rangiri Dambulla International Stadium,Sri Lanka,LHD Dilhara,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
22,64897,Arnos Vale Ground,Bangladesh,Tapash Baisya,Right-arm fast-medium,"[0, 1, 1]",0,4,8,0,0
23,64897,Arnos Vale Ground,Bangladesh,Khaled Mahmud,Right-arm medium,"[0, 1, 2]",1,4,7,0,0
24,64897,Arnos Vale Ground,Bangladesh,Mohammad Rafique,Left-arm orthodox,"[1, 0, 1]",0,5,5,0,0
25,64889,Queen's Park Oval,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",0,5,16,1,0
26,64889,Queen's Park Oval,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
27,64889,Queen's Park Oval,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,0,3,0,0
28,66306,Headingley,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,10,11,1,0
29,66306,Headingley,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",1,8,11,1,0
30,65659,"Brisbane Cricket Ground, Woolloongabba",Pakistan,Naved-ul-Hasan,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
31,64864,Kingsmead,South Africa,M Ntini,Right-arm fast,"[0, 1, 0]",1,11,14,1,0
32,64864,Kingsmead,South Africa,A Nel,Right-arm fast-medium,"[0, 1, 1]",0,12,19,2,0
33,215134,"R.Premadasa Stadium, Khettarama",Sri Lanka,MF Maharoof,Right-arm fast-medium,"[0, 1, 1]",0,5,2,1,0
34,215134,"R.Premadasa Stadium, Khettarama",Sri Lanka,UDU Chandana,Right-arm legbreak,"[1, 1, 1]",0,3,2,0,0
35,64848,"Queens Sports Club, Bulawayo",Zimbabwe,AM Blignaut,Right-arm fast-medium,"[0, 1, 1]",0,4,6,1,0
36,64848,"Queens Sports Club, Bulawayo",Zimbabwe,RW Price,Left-arm orthodox,"[1, 0, 1]",1,0,6,0,0
37,64849,Harare Sports Club,Zimbabwe,AM Blignaut,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
38,64852,Harare Sports Club,Zimbabwe,SM Ervine,Right-arm medium,"[0, 1, 2]",0,12,7,3,0
