,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144986,Perth Stadium,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,12,25,1,0
1,1144986,Perth Stadium,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,25,24,3,0
2,1144986,Perth Stadium,Australia,NM Coulter-Nile,Right-arm fast,"[0, 1, 0]",0,3,9,0,0
3,1144986,Perth Stadium,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,4,12,0,0
4,1144986,Perth Stadium,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,0,6,0,0
5,1144987,Adelaide Oval,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",1,5,6,0,0
6,1144987,Adelaide Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,10,18,1,0
7,1144987,Adelaide Oval,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,1,3,0,0
8,1144988,Bellerive Oval,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,4,9,1,0
9,1144988,Bellerive Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",0,4,18,1,0
10,1144988,Bellerive Oval,Australia,MP Stoinis,Right-arm medium,"[0, 1, 2]",1,0,1,0,0
11,1185311,Kingsmead,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",0,0,1,0,0
12,1185311,Kingsmead,England,MW Parkinson,Right-arm legbreak,"[1, 1, 1]",0,7,9,0,0
13,1185312,The Wanderers Stadium,England,S Mahmood,Right-arm fast-medium,"[0, 1, 1]",1,9,23,2,0
14,1277073,"SuperSport Park, Centurion",Netherlands,FJ Klaassen,Left-arm medium,"[0, 0, 2]",1,6,10,1,0
15,1144156,St George's Park,Pakistan,Usman Shinwari,Left-arm fast-medium,"[0, 0, 1]",0,9,12,1,0
16,1144156,St George's Park,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,6,6,0,0
17,1144156,St George's Park,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,3,12,0,0
18,1144157,Kingsmead,Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",1,0,2,0,0
19,1144158,SuperSport Park,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,8,12,1,0
20,1144158,SuperSport Park,Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",0,3,8,0,0
21,1144158,SuperSport Park,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,17,18,2,0
22,1144159,The Wanderers Stadium,Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",1,1,4,0,0
23,1144159,The Wanderers Stadium,Pakistan,Usman Shinwari,Left-arm fast-medium,"[0, 0, 1]",0,1,6,0,0
24,1144160,Newlands,Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",0,1,2,0,0
25,1144160,Newlands,Pakistan,Usman Shinwari,Left-arm fast-medium,"[0, 0, 1]",0,0,5,0,0
26,1144160,Newlands,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",1,20,17,3,0
