,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,656439,Western Australia Cricket Association Ground,India,MM Sharma,Right-arm fast-medium,"[0, 1, 1]",1,0,4,0,0
1,1131275,ICC Academy,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",0,5,11,1,0
2,1131275,ICC Academy,Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",1,4,3,1,0
3,1133015,Old Hararians,Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",1,9,6,0,1
4,1133015,Old Hararians,Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,3,7,0,0
5,1133015,Old Hararians,Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",0,4,6,0,0
6,1244525,Sheikh Zayed Stadium,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",1,7,13,1,0
7,1244525,Sheikh Zayed Stadium,Ireland,Simi Singh,Right-arm offbreak,"[1, 1, 0]",0,0,4,0,0
8,656429,"Brisbane Cricket Ground, Woolloongabba",Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,0,3,0,0
9,1211170,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,BM Scholtz,Left-arm orthodox,"[1, 0, 1]",0,15,9,1,1
10,1302618,"ICC Academy, Dubai",Namibia,T Lungameni,Left-arm medium,"[0, 0, 2]",1,0,1,0,0
11,1302618,"ICC Academy, Dubai",Namibia,D Wiese,Right-arm fast-medium,"[0, 1, 1]",0,0,8,0,0
12,1211169,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Mohammad Nadeem,Right-arm fast-medium,"[0, 1, 1]",0,8,14,0,0
13,1211169,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Sandeep Goud,Right-arm medium,"[0, 1, 2]",0,5,7,1,0
14,1211169,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",0,4,10,1,0
15,1299586,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Khawar Ali,Right-arm legbreak,"[1, 1, 1]",0,1,3,0,0
16,1299586,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Aamir Kaleem,Left-arm orthodox,"[1, 0, 1]",0,1,1,0,0
17,1299586,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",0,9,7,1,0
18,1299586,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Kaleemullah,Right-arm medium,"[0, 1, 2]",1,2,5,0,0
19,1299587,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Kaleemullah,Right-arm medium,"[0, 1, 2]",0,0,1,0,0
20,1299587,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",1,0,2,0,0
21,1299588,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nestor Dhamba,Right-arm offbreak,"[1, 1, 0]",1,7,18,0,0
22,1299588,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",0,1,2,0,0
23,1302616,"ICC Academy, Dubai",Oman,Khawar Ali,Right-arm legbreak,"[1, 1, 1]",0,9,17,0,0
24,1302616,"ICC Academy, Dubai",Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
25,1302616,"ICC Academy, Dubai",Oman,Mohammad Nadeem,Right-arm fast-medium,"[0, 1, 1]",0,6,10,0,0
26,1302616,"ICC Academy, Dubai",Oman,Kaleemullah,Right-arm medium,"[0, 1, 2]",0,2,7,0,0
27,1302619,"ICC Academy, Dubai",Oman,Khawar Ali,Right-arm legbreak,"[1, 1, 1]",1,3,7,0,0
28,1302619,"ICC Academy, Dubai",Oman,Bilal Khan,Left-arm fast-medium,"[0, 0, 1]",0,12,15,1,0
29,1302619,"ICC Academy, Dubai",Oman,Kaleemullah,Right-arm medium,"[0, 1, 2]",0,1,4,0,0
30,1131278,ICC Academy,Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,9,7,0,1
31,1131278,ICC Academy,Scotland,SG Whittingham,Right-arm fast-medium,"[0, 1, 1]",0,4,20,1,0
32,1131278,ICC Academy,Scotland,CS MacLeod,Right-arm fast-medium,"[0, 1, 1]",0,6,7,1,0
33,1131279,ICC Academy,Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,1,5,0,0
34,1131279,ICC Academy,Scotland,SJ Cameron,Left-arm medium,"[0, 0, 2]",1,0,3,0,0
35,1131279,ICC Academy,Scotland,MA Leask,Right-arm offbreak,"[1, 1, 0]",0,1,3,0,0
36,1133019,Queens Sports Club,Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
37,1133019,Queens Sports Club,Scotland,MRJ Watt,Left-arm orthodox,"[1, 0, 1]",0,5,3,1,0
38,1133019,Queens Sports Club,Scotland,BTJ Wheal,Right-arm fast-medium,"[0, 1, 1]",0,9,9,2,0
39,1322036,"Mannofield Park, Aberdeen",Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,12,18,1,0
40,1322036,"Mannofield Park, Aberdeen",Scotland,Hamza Tahir,Left-arm orthodox,"[1, 0, 1]",0,22,24,2,1
41,1322036,"Mannofield Park, Aberdeen",Scotland,MRJ Watt,Left-arm orthodox,"[1, 0, 1]",0,12,24,0,0
42,1322036,"Mannofield Park, Aberdeen",Scotland,MA Leask,Right-arm offbreak,"[1, 1, 0]",0,12,22,1,0
43,1322036,"Mannofield Park, Aberdeen",Scotland,CM McBride,Right-arm legbreak,"[1, 1, 1]",0,2,4,0,0
44,1322039,"Mannofield Park, Aberdeen",Scotland,MRJ Watt,Left-arm orthodox,"[1, 0, 1]",1,0,2,0,0
45,997993,"Grange Cricket Club Ground, Raeburn Place",Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,16,14,3,0
46,997993,"Grange Cricket Club Ground, Raeburn Place",Scotland,MA Leask,Right-arm offbreak,"[1, 1, 0]",0,8,13,0,1
47,997995,"Grange Cricket Club Ground, Raeburn Place",Scotland,SM Sharif,Right-arm fast-medium,"[0, 1, 1]",0,3,5,0,0
48,1133027,Old Hararians,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,0,10,0,0
49,1133027,Old Hararians,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,4,8,1,0
50,1078661,Dubai International Cricket Stadium,Hong Kong,Ehsan Nawaz,Right-arm fast-medium,"[0, 1, 1]",0,13,10,1,1
51,1078661,Dubai International Cricket Stadium,Hong Kong,Nadeem Ahmed,Left-arm orthodox,"[1, 0, 1]",0,6,5,1,0
52,1080630,ICC Global Cricket Academy,Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,1,2,0,0
53,1080630,ICC Global Cricket Academy,Ireland,CA Young,Right-arm medium,"[0, 1, 2]",0,18,13,4,0
54,1080630,ICC Global Cricket Academy,Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",0,9,4,2,0
55,1080630,ICC Global Cricket Academy,Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",1,15,11,0,2
56,1080631,ICC Global Cricket Academy,Ireland,AR McBrine,Right-arm offbreak,"[1, 1, 0]",1,6,8,1,0
57,1080631,ICC Global Cricket Academy,Ireland,CA Young,Right-arm medium,"[0, 1, 2]",0,1,5,0,0
58,1131274,ICC Academy,Ireland,WB Rankin,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
59,1154649,Kinrara Academy Oval,Nepal,S Lamichhane,Right-arm legbreak,"[1, 1, 1]",1,0,1,0,0
60,1302625,Dubai International Cricket Stadium,Nepal,Karan KC,Right-arm medium,"[0, 1, 2]",0,0,12,0,0
61,1302625,Dubai International Cricket Stadium,Nepal,S Lamichhane,Right-arm legbreak,"[1, 1, 1]",0,10,18,1,0
62,1302625,Dubai International Cricket Stadium,Nepal,Sompal Kami,Right-arm fast-medium,"[0, 1, 1]",0,7,8,1,0
63,1302627,Dubai International Cricket Stadium,Nepal,Karan KC,Right-arm medium,"[0, 1, 2]",0,5,5,0,0
64,1302627,Dubai International Cricket Stadium,Nepal,S Lamichhane,Right-arm legbreak,"[1, 1, 1]",0,8,13,1,0
65,1302627,Dubai International Cricket Stadium,Nepal,Sompal Kami,Right-arm fast-medium,"[0, 1, 1]",1,14,14,1,0
66,1302627,Dubai International Cricket Stadium,Nepal,P Sarraf,Right-arm offbreak,"[1, 1, 0]",0,4,7,0,0
67,1068737,Sheikh Zayed Stadium,Papua New Guinea,A Vala,Right-arm offbreak,"[1, 1, 0]",0,1,9,0,0
68,1089183,Sheikh Zayed Stadium,Papua New Guinea,A Vala,Right-arm offbreak,"[1, 1, 0]",0,10,20,0,0
69,1134540,Harare Sports Club,Papua New Guinea,A Vala,Right-arm offbreak,"[1, 1, 0]",1,12,21,0,0
70,1134540,Harare Sports Club,Papua New Guinea,CJA Amini,Right-arm legbreak,"[1, 1, 1]",0,3,10,0,0
71,1134540,Harare Sports Club,Papua New Guinea,CA Soper,Right arm Medium fast,"[0, 1, 1]",0,36,32,3,2
72,1302626,Dubai International Cricket Stadium,Papua New Guinea,A Vala,Right-arm offbreak,"[1, 1, 0]",0,15,38,2,0
73,1302626,Dubai International Cricket Stadium,Papua New Guinea,CA Soper,Right arm Medium fast,"[0, 1, 1]",0,11,29,2,0
74,1078660,Dubai International Cricket Stadium,Scotland,BTJ Wheal,Right-arm fast-medium,"[0, 1, 1]",0,7,23,1,0
75,1312800,"Moosa Cricket Stadium, Pearland",Scotland,CS MacLeod,Right-arm fast-medium,"[0, 1, 1]",0,2,3,0,0
76,1206059,Sharjah Cricket Stadium,United States of America,SR Taylor,Right-arm offbreak,"[1, 1, 0]",1,5,5,1,0
77,1206062,ICC Academy,United States of America,SN Netravalkar,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
78,1206062,ICC Academy,United States of America,CAH Stevenson,Right-arm fast-medium,"[0, 1, 1]",0,0,3,0,0
79,1322037,"Mannofield Park, Aberdeen",United States of America,NK Patel,Left-arm orthodox,"[1, 0, 1]",0,0,2,0,0
80,1133029,Harare Sports Club,Zimbabwe,Sikandar Raza,Right-arm offbreak,"[1, 1, 0]",1,5,12,0,0
81,1133029,Harare Sports Club,Zimbabwe,TL Chatara,Right-arm fast-medium,"[0, 1, 1]",0,11,13,2,0
82,1133029,Harare Sports Club,Zimbabwe,B Muzarabani,Right-arm fast-medium,"[0, 1, 1]",0,6,7,1,0
83,1133029,Harare Sports Club,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",0,6,16,0,0
84,1133029,Harare Sports Club,Zimbabwe,AG Cremer,Right-arm legbreak,"[1, 1, 1]",0,3,14,0,0
85,656413,Saxton Oval,Zimbabwe,SC Williams,Left-arm orthodox,"[1, 0, 1]",0,1,1,0,0
86,656413,Saxton Oval,Zimbabwe,TL Chatara,Right-arm fast-medium,"[0, 1, 1]",1,1,4,0,0
87,656413,Saxton Oval,Zimbabwe,H Masakadza,Right-arm medium,"[0, 1, 2]",0,2,2,0,0
88,1133003,Old Hararians,West Indies,KAJ Roach,Right-arm fast,"[0, 1, 0]",1,6,7,0,1
89,1133003,Old Hararians,West Indies,SS Cottrell,Left-arm fast-medium,"[0, 0, 1]",0,2,2,0,0
90,1179272,Harare Sports Club,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",0,4,16,0,0
91,1179272,Harare Sports Club,Zimbabwe,TL Chatara,Right-arm fast-medium,"[0, 1, 1]",0,3,7,0,0
92,1179272,Harare Sports Club,Zimbabwe,DT Tiripano,Right-arm fast-medium,"[0, 1, 1]",0,2,5,0,0
93,1179272,Harare Sports Club,Zimbabwe,Sikandar Raza,Right-arm offbreak,"[1, 1, 0]",1,1,20,0,0
94,1179273,Harare Sports Club,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",1,0,5,0,0
95,1179275,Harare Sports Club,Zimbabwe,SC Williams,Left-arm orthodox,"[1, 0, 1]",0,0,5,0,0
96,1179275,Harare Sports Club,Zimbabwe,KM Jarvis,Right-arm fast,"[0, 1, 0]",1,1,3,0,0
