,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,415276,New Wanderers Stadium,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,8,11,1,0
1,415276,New Wanderers Stadium,England,GP Swann,Right-arm offbreak,"[1, 1, 0]",0,9,10,1,0
2,415276,New Wanderers Stadium,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,2,15,0,0
3,415276,New Wanderers Stadium,England,G Onions,Right-arm fast-medium,"[0, 1, 1]",0,15,21,2,0
4,474467,Kennington Oval,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,9,22,1,0
5,474467,Kennington Oval,England,GP Swann,Right-arm offbreak,"[1, 1, 0]",0,3,4,0,0
6,474467,Kennington Oval,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
7,474467,Kennington Oval,England,JW Dernbach,Right-arm fast-medium,"[0, 1, 1]",1,3,7,0,0
8,474469,Lord's,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
9,474469,Lord's,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,1,3,0,0
10,474469,Lord's,England,JW Dernbach,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
11,474469,Lord's,England,GP Swann,Right-arm offbreak,"[1, 1, 0]",1,8,8,1,0
12,474470,Trent Bridge,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",1,4,12,1,0
13,430886,Madhavrao Scindia Cricket Ground,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,3,3,0,0
14,430886,Madhavrao Scindia Cricket Ground,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,3,6,0,0
15,430886,Madhavrao Scindia Cricket Ground,India,A Nehra,Left-arm fast-medium,"[0, 0, 1]",0,11,11,1,0
16,430887,"Vidarbha Cricket Association Stadium, Jamtha",India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,2,3,0,0
17,430887,"Vidarbha Cricket Association Stadium, Jamtha",India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,11,8,2,0
18,430887,"Vidarbha Cricket Association Stadium, Jamtha",India,A Nehra,Left-arm fast-medium,"[0, 0, 1]",0,4,8,0,0
19,430888,Barabati Stadium,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",1,6,4,1,0
