,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,226380,Sydney Cricket Ground,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,14,17,1,0
1,226380,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,15,14,1,1
2,226380,Sydney Cricket Ground,Australia,BR Dorey,Right-arm fast-medium,"[0, 1, 1]",0,18,12,3,0
3,226380,Sydney Cricket Ground,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",1,12,13,0,0
4,226382,Western Australia Cricket Association Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,8,0,0
5,236358,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,4,5,0,0
6,236358,Adelaide Oval,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,16,14,1,1
7,236595,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,0,3,0,0
8,236963,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,5,6,1,0
9,247499,"National Cricket Stadium, St George's",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,8,7,1,0
10,247507,"Kensington Oval, Bridgetown",Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,28,22,5,0
11,247507,"Kensington Oval, Bridgetown",Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",0,5,8,0,0
12,247507,"Kensington Oval, Bridgetown",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,5,16,0,0
13,247507,"Kensington Oval, Bridgetown",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,17,13,3,0
14,291361,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,6,11,1,0
15,291364,Western Australia Cricket Association Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,8,3,1,0
16,291367,Melbourne Cricket Ground,Australia,SR Clark,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
17,291370,Melbourne Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,19,15,2,1
18,64870,Rangiri Dambulla International Stadium,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,4,7,1,0
