,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144513,The Rose Bowl,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",1,0,6,0,0
1,656411,Manuka Oval,Afghanistan,Shapoor Zadran,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
2,656411,Manuka Oval,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,3,4,0,0
3,656411,Manuka Oval,Afghanistan,Javed Ahmadi,Right-arm offbreak,"[1, 1, 0]",0,6,3,1,0
4,1022355,Kennington Oval,Australia,JR Hazlewood,Right-arm fast-medium,"[0, 1, 1]",1,3,9,0,0
5,1022355,Kennington Oval,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,0,2,0,0
6,1144508,Trent Bridge,Australia,PJ Cummins,Right-arm fast,"[0, 1, 0]",0,1,2,0,0
7,1144508,Trent Bridge,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,9,6,2,0
8,1051297,Shere Bangla National Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",1,0,3,0,0
9,1051299,Shere Bangla National Stadium,Afghanistan,Naveen-ul-Haq,Right-arm fast-medium,"[0, 1, 1]",0,5,7,1,0
10,1051299,Shere Bangla National Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,5,8,0,0
11,1051301,Shere Bangla National Stadium,Afghanistan,Dawlat Zadran,Right-arm fast-medium,"[0, 1, 1]",0,10,6,1,0
12,656463,Adelaide Oval,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",0,6,6,1,0
13,656463,Adelaide Oval,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",0,11,16,0,1
14,656463,Adelaide Oval,England,CJ Jordan,Right-arm fast-medium,"[0, 1, 1]",1,7,14,1,0
15,656463,Adelaide Oval,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,6,12,1,0
16,1022373,Edgbaston,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
17,1144522,Edgbaston,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",0,6,10,0,0
18,1144522,Edgbaston,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,21,15,4,0
19,1144522,Edgbaston,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,2,2,0,0
20,1144522,Edgbaston,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,4,10,0,0
21,1144522,Edgbaston,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",1,0,2,0,0
22,1153255,Dubai International Cricket Stadium,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",1,7,14,0,0
23,1153255,Dubai International Cricket Stadium,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,3,4,0,0
24,1153255,Dubai International Cricket Stadium,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,2,6,0,0
25,1153255,Dubai International Cricket Stadium,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,8,7,1,0
26,1153255,Dubai International Cricket Stadium,India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,13,16,0,1
