,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1072310,Melbourne Cricket Ground,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,2,6,0,0
1,1072310,Melbourne Cricket Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",1,13,9,2,0
2,1072310,Melbourne Cricket Ground,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,7,8,1,0
3,1119537,Kennington Oval,England,AU Rashid,Right-arm legbreak,"[1, 1, 1]",0,5,9,0,0
4,1119537,Kennington Oval,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",1,7,10,1,0
5,1119540,Riverside Ground,England,MA Wood,Right-arm fast,"[0, 1, 0]",0,2,4,0,0
6,1119541,Old Trafford,England,MM Ali,Right-arm offbreak,"[1, 1, 0]",1,0,1,0,0
7,1119541,Old Trafford,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",0,1,2,0,0
8,415285,SuperSport Park,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,0,2,0,0
9,415285,SuperSport Park,England,G Onions,Right-arm fast-medium,"[0, 1, 1]",1,4,2,1,0
10,446968,Western Australia Cricket Association Ground,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
11,446968,Western Australia Cricket Association Ground,England,LE Plunkett,Right-arm fast,"[0, 1, 0]",1,3,4,0,0
12,415281,SuperSport Park,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,23,12,3,1
13,415281,SuperSport Park,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,10,8,2,0
14,415281,SuperSport Park,India,P Kumar,Right-arm fast-medium,"[0, 1, 1]",0,10,21,1,0
15,415281,SuperSport Park,India,A Mishra,Right-arm legbreak,"[1, 1, 1]",1,7,10,1,0
16,415281,SuperSport Park,India,A Nehra,Left-arm fast-medium,"[0, 0, 1]",0,6,8,0,0
17,415287,SuperSport Park,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",1,0,2,0,0
18,415287,SuperSport Park,New Zealand,KD Mills,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
19,415283,SuperSport Park,Pakistan,Umar Gul,Right-arm fast-medium,"[0, 1, 1]",0,3,13,0,0
20,415283,SuperSport Park,Pakistan,Mohammad Asif,Right-arm fast-medium,"[0, 1, 1]",0,22,26,3,1
21,406194,Sydney Cricket Ground,West Indies,R Rampaul,Right-arm fast-medium,"[0, 1, 1]",1,11,17,2,0
22,406194,Sydney Cricket Ground,West Indies,DR Smith,Right-arm medium,"[0, 1, 2]",0,5,17,1,0
23,406195,"Brisbane Cricket Ground, Woolloongabba",West Indies,NO Miller,Left-arm orthodox,"[1, 0, 1]",0,2,3,0,0
