,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,434258,Shere Bangla National Stadium,Bangladesh,Shafiul Islam,Right-arm fast-medium,"[0, 1, 1]",0,7,4,1,0
1,434258,Shere Bangla National Stadium,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,1,6,0,0
2,434258,Shere Bangla National Stadium,Bangladesh,Mahmudullah,Right-arm offbreak,"[1, 1, 0]",0,10,11,1,0
3,434258,Shere Bangla National Stadium,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
4,415276,New Wanderers Stadium,England,JM Anderson,Right-arm fast-medium,"[0, 1, 1]",0,2,11,0,0
5,415276,New Wanderers Stadium,England,SCJ Broad,Right-arm fast-medium,"[0, 1, 1]",1,13,29,2,0
6,415276,New Wanderers Stadium,England,G Onions,Right-arm fast-medium,"[0, 1, 1]",0,15,13,2,0
7,430886,Madhavrao Scindia Cricket Ground,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
8,430889,Eden Gardens,India,I Sharma,Right-arm fast-medium,"[0, 1, 1]",0,3,2,0,0
9,430889,Eden Gardens,India,A Nehra,Left-arm fast-medium,"[0, 0, 1]",0,10,5,1,0
10,433606,Wankhede Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",1,9,16,1,0
11,433606,Wankhede Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,2,5,0,0
12,433606,Wankhede Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,6,5,1,0
13,434259,Shere Bangla National Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,10,18,0,0
14,434259,Shere Bangla National Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,26,28,1,0
15,434259,Shere Bangla National Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,11,11,1,0
16,434259,Shere Bangla National Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,12,10,2,0
17,434259,Shere Bangla National Stadium,India,A Nehra,Left-arm fast-medium,"[0, 0, 1]",1,11,10,2,0
18,434262,Shere Bangla National Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",1,0,1,0,0
19,434262,Shere Bangla National Stadium,India,Z Khan,Left-arm fast-medium,"[0, 0, 1]",0,0,5,0,0
20,434264,Shere Bangla National Stadium,India,Yuvraj Singh,Left-arm orthodox,"[1, 0, 1]",0,7,11,0,0
21,434264,Shere Bangla National Stadium,India,Harbhajan Singh,Right-arm offbreak,"[1, 1, 0]",0,3,12,0,0
22,434264,Shere Bangla National Stadium,India,S Sreesanth,Right-arm fast-medium,"[0, 1, 1]",0,9,11,1,0
23,452147,Queens Sports Club,India,UT Yadav,Right-arm fast,"[0, 1, 0]",0,10,10,2,0
24,452147,Queens Sports Club,India,PP Ojha,Left-arm orthodox,"[1, 0, 1]",1,0,2,0,0
25,452147,Queens Sports Club,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,9,12,0,0
26,452150,Harare Sports Club,India,YK Pathan,Right-arm offbreak,"[1, 1, 0]",0,2,1,0,0
27,452150,Harare Sports Club,India,PP Ojha,Left-arm orthodox,"[1, 0, 1]",0,1,4,0,0
28,452150,Harare Sports Club,India,AB Dinda,Right-arm fast-medium,"[0, 1, 1]",0,7,4,1,0
29,415279,New Wanderers Stadium,New Zealand,SE Bond,Right-arm fast,"[0, 1, 0]",0,2,2,0,0
30,433594,Wankhede Stadium,New Zealand,SB Styris,Right-arm medium,"[0, 1, 2]",1,2,4,0,0
31,415273,SuperSport Park,South Africa,DW Steyn,Right-arm fast,"[0, 1, 0]",0,4,11,0,0
32,415273,SuperSport Park,South Africa,JA Morkel,Right-arm fast-medium,"[0, 1, 1]",0,9,6,1,0
33,415273,SuperSport Park,South Africa,JH Kallis,Right-arm fast-medium,"[0, 1, 1]",0,6,7,0,0
34,433577,R Premadasa Stadium,Australia,JJ Krejza,Right-arm offbreak,"[1, 1, 0]",0,14,18,1,0
