,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,211364,Sophia Gardens,Australia,JN Gillespie,Right-arm fast,"[0, 1, 0]",0,5,13,0,0
1,211364,Sophia Gardens,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",1,13,8,3,0
2,211364,Sophia Gardens,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,1,5,0,0
3,211364,Sophia Gardens,Australia,MS Kasprowicz,Right-arm fast-medium,"[0, 1, 1]",0,5,9,1,0
4,211824,Old Trafford,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,4,9,1,0
5,211824,Old Trafford,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,0,5,0,0
6,212253,St Lawrence Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",1,0,1,0,0
7,238173,Chittagong Divisional Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,3,9,0,0
8,238173,Chittagong Divisional Stadium,Australia,GB Hogg,Left-arm chinaman,"[1, 0, 0]",1,10,17,1,0
9,238174,Narayanganj Osmani Stadium,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,0,6,0,0
10,211244,Kennington Oval,England,SJ Harmison,Right-arm fast-medium,"[0, 1, 1]",1,4,11,0,0
11,211244,Kennington Oval,England,J Lewis,Right-arm medium,"[0, 1, 2]",0,4,10,0,0
12,211244,Kennington Oval,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,2,6,0,0
13,211860,Headingley,England,CT Tremlett,Right-arm fast-medium,"[0, 1, 1]",0,11,12,1,0
14,211860,Headingley,England,D Gough,Right-arm fast-medium,"[0, 1, 1]",0,9,5,2,0
15,249380,Gymkhana Club Ground,Kenya,PJ Ongondo,Right-arm fast-medium,"[0, 1, 1]",0,0,2,0,0
16,300428,Queenstown Events Centre,New Zealand,MJ Mason,Right-arm fast-medium,"[0, 1, 1]",0,1,1,0,0
17,217647,Sinhalese Sports Club Ground,Sri Lanka,WPUJC Vaas,Left-arm fast-medium,"[0, 0, 1]",0,6,13,1,0
18,217647,Sinhalese Sports Club Ground,Sri Lanka,CRD Fernando,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
19,293481,P Saravanamuttu Stadium,Sri Lanka,CRD Fernando,Right-arm fast-medium,"[0, 1, 1]",1,0,5,0,0
20,293482,R Premadasa Stadium,Sri Lanka,CRD Fernando,Right-arm fast-medium,"[0, 1, 1]",0,2,4,0,0
21,293482,R Premadasa Stadium,Sri Lanka,MF Maharoof,Right-arm fast-medium,"[0, 1, 1]",1,1,21,0,0
22,293482,R Premadasa Stadium,Sri Lanka,SL Malinga,Right-arm fast,"[0, 1, 0]",0,1,6,0,0
