,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1144486,County Ground,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",1,2,9,0,0
1,1144508,Trent Bridge,Bangladesh,Shakib Al Hasan,Left-arm orthodox,"[1, 0, 1]",0,12,9,1,0
2,1144508,Trent Bridge,Bangladesh,Mashrafe Mortaza,Right-arm fast-medium,"[0, 1, 1]",0,12,6,2,0
3,1144508,Trent Bridge,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,"[0, 0, 1]",0,23,12,4,0
4,1144508,Trent Bridge,Bangladesh,Rubel Hossain,Right-arm fast-medium,"[0, 1, 1]",0,16,10,2,0
5,1144496,Kennington Oval,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,21,14,2,1
6,1144496,Kennington Oval,India,HH Pandya,Right-arm fast-medium,"[0, 1, 1]",0,8,10,1,0
7,1144496,Kennington Oval,India,JJ Bumrah,Right-arm fast,"[0, 1, 0]",1,0,3,0,0
8,1144496,Kennington Oval,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",0,13,12,1,0
9,1144997,Sydney Cricket Ground,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,9,16,1,0
10,1144997,Sydney Cricket Ground,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",0,12,18,1,0
11,1144997,Sydney Cricket Ground,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,3,7,0,0
12,1144998,Adelaide Oval,India,Mohammed Siraj,Right-arm fast-medium,"[0, 1, 1]",0,16,14,3,0
13,1144998,Adelaide Oval,India,Kuldeep Yadav,Left-arm chinaman,"[1, 0, 0]",1,4,8,0,0
14,1144998,Adelaide Oval,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,1,4,0,0
15,1144999,Melbourne Cricket Ground,India,Mohammed Shami,Right-arm fast-medium,"[0, 1, 1]",0,7,18,1,0
16,1144999,Melbourne Cricket Ground,India,YS Chahal,Right-arm legbreak,"[1, 1, 1]",1,0,1,0,0
17,1144999,Melbourne Cricket Ground,India,B Kumar,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
18,1144999,Melbourne Cricket Ground,India,KM Jadhav,Right-arm offbreak,"[1, 1, 0]",0,11,12,0,0
19,1144999,Melbourne Cricket Ground,India,V Shankar,Right-arm medium,"[0, 1, 2]",0,4,8,0,0
20,936133,Willowmoore Park,Ireland,PKD Chase,Right-arm fast-medium,"[0, 1, 1]",0,11,9,0,1
21,936133,Willowmoore Park,Ireland,TJ Murtagh,Right-arm fast-medium,"[0, 1, 1]",0,14,19,1,0
22,936133,Willowmoore Park,Ireland,GH Dockrell,Left-arm orthodox,"[1, 0, 1]",0,16,14,2,0
23,936133,Willowmoore Park,Ireland,KJ O'Brien,Right-arm fast-medium,"[0, 1, 1]",0,15,20,0,1
24,1144519,Lord's,New Zealand,TA Boult,Left-arm fast-medium,"[0, 0, 1]",1,18,21,2,0
25,1144519,Lord's,New Zealand,C de Grandhomme,Right-arm fast-medium,"[0, 1, 1]",0,10,21,0,0
26,1144519,Lord's,New Zealand,LH Ferguson,Right-arm fast,"[0, 1, 0]",0,14,20,1,0
27,1144519,Lord's,New Zealand,IS Sodhi,Right-arm legbreak,"[1, 1, 1]",0,15,16,1,0
28,1144519,Lord's,New Zealand,JDS Neesham,Right-arm medium,"[0, 1, 2]",0,5,17,0,0
29,1000889,Melbourne Cricket Ground,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",1,9,10,1,0
30,1000889,Melbourne Cricket Ground,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,8,11,0,0
31,1000891,Western Australia Cricket Association Ground,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,4,5,1,0
32,1000891,Western Australia Cricket Association Ground,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",1,1,10,0,0
33,1000891,Western Australia Cricket Association Ground,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,4,6,1,0
34,1000893,Sydney Cricket Ground,Pakistan,Junaid Khan,Left-arm fast-medium,"[0, 0, 1]",0,4,7,0,0
35,1000893,Sydney Cricket Ground,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",1,3,9,0,0
36,1000893,Sydney Cricket Ground,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,13,20,2,0
37,1000893,Sydney Cricket Ground,Pakistan,Mohammad Hafeez,Right-arm offbreak,"[1, 1, 0]",0,10,13,0,0
38,1144499,The Cooper Associates County Ground,Pakistan,Wahab Riaz,Left-arm fast,"[0, 0, 0]",0,11,7,2,0
39,1144499,The Cooper Associates County Ground,Pakistan,Hasan Ali,Right-arm fast-medium,"[0, 1, 1]",0,5,6,1,0
40,1144499,The Cooper Associates County Ground,Pakistan,Shaheen Shah Afridi,Left-arm fast-medium,"[0, 0, 1]",0,2,3,0,0
41,1144499,The Cooper Associates County Ground,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",1,0,1,0,0
42,1174238,Sharjah Cricket Stadium,Pakistan,Mohammad Abbas,Right-arm fast-medium,"[0, 1, 1]",0,9,12,1,0
43,1174238,Sharjah Cricket Stadium,Pakistan,Mohammad Amir,Left-arm fast-medium,"[0, 0, 1]",0,5,6,1,0
44,1174239,Sharjah Cricket Stadium,Pakistan,Mohammad Abbas,Right-arm fast-medium,"[0, 1, 1]",0,27,26,4,0
45,1174239,Sharjah Cricket Stadium,Pakistan,Mohammad Hasnain,Right-arm fast-medium,"[0, 1, 1]",0,10,17,0,0
46,1174239,Sharjah Cricket Stadium,Pakistan,Haris Sohail,Left-arm orthodox,"[1, 0, 1]",0,10,12,1,0
47,1174239,Sharjah Cricket Stadium,Pakistan,Yasir Shah,Right-arm legbreak,"[1, 1, 1]",1,9,20,0,0
