,match_id,venue,opposition,bowler,bowler_type,bowler_type_tuple,got_him_out,runs_scored,balls_faced,fours,sixes
0,1153245,Sheikh Zayed Stadium,Afghanistan,Mujeeb Ur Rahman,Right-arm offbreak,"[1, 1, 0]",0,12,17,1,0
1,1153245,Sheikh Zayed Stadium,Afghanistan,Rashid Khan,Right-arm legbreak,"[1, 1, 1]",0,1,2,0,0
2,1153245,Sheikh Zayed Stadium,Afghanistan,Aftab Alam,Right-arm fast-medium,"[0, 1, 1]",0,9,13,1,0
3,226381,Adelaide Oval,Australia,A Symonds,Right-arm medium,"[0, 1, 2]",0,4,17,0,0
4,226381,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,6,8,0,0
5,226381,Adelaide Oval,Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",1,6,24,0,0
6,247499,"National Cricket Stadium, St George's",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,3,8,0,0
7,247499,"National Cricket Stadium, St George's",Australia,GD McGrath,Right-arm fast-medium,"[0, 1, 1]",0,1,2,0,0
8,247507,"Kensington Oval, Bridgetown",Australia,SW Tait,Right-arm fast,"[0, 1, 0]",0,1,3,0,0
9,291361,Sydney Cricket Ground,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,3,8,0,0
10,446957,Melbourne Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,1,11,0,0
11,446957,Melbourne Cricket Ground,Australia,PM Siddle,Right-arm fast-medium,"[0, 1, 1]",0,2,7,0,0
12,446958,Sydney Cricket Ground,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,20,25,1,0
13,446958,Sydney Cricket Ground,Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,11,21,0,0
14,446958,Sydney Cricket Ground,Australia,PM Siddle,Right-arm fast-medium,"[0, 1, 1]",0,16,21,2,0
15,446958,Sydney Cricket Ground,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",0,9,14,0,0
16,446958,Sydney Cricket Ground,Australia,NM Hauritz,Right-arm offbreak,"[1, 1, 0]",0,24,32,3,0
17,446959,"Brisbane Cricket Ground, Woolloongabba",Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,10,16,1,0
18,446959,"Brisbane Cricket Ground, Woolloongabba",Australia,MG Johnson,Left-arm fast,"[0, 0, 0]",0,15,27,2,0
19,446959,"Brisbane Cricket Ground, Woolloongabba",Australia,MA Starc,Left-arm fast,"[0, 0, 0]",0,1,6,0,0
20,446959,"Brisbane Cricket Ground, Woolloongabba",Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",1,2,8,0,0
21,518958,Western Australia Cricket Association Ground,Australia,RJ Harris,Right-arm fast,"[0, 1, 0]",0,5,7,1,0
22,518958,Western Australia Cricket Association Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,0,6,0,0
23,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,JL Pattinson,Right-arm fast,"[0, 1, 0]",0,10,12,1,0
24,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,8,13,0,0
25,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,1,5,0,0
26,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,BW Hilfenhaus,Right-arm fast-medium,"[0, 1, 1]",0,9,5,1,0
27,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,DJ Hussey,Right-arm offbreak,"[1, 1, 0]",0,16,14,1,0
28,518968,"Brisbane Cricket Ground, Woolloongabba",Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",1,8,11,0,0
29,518970,Adelaide Oval,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,10,23,1,0
30,518970,Adelaide Oval,Australia,XJ Doherty,Left-arm orthodox,"[1, 0, 1]",0,18,21,1,1
31,518970,Adelaide Oval,Australia,NM Lyon,Right-arm offbreak,"[1, 1, 0]",0,19,22,1,0
32,518970,Adelaide Oval,Australia,B Lee,Right-arm fast,"[0, 1, 0]",0,9,12,1,0
33,518970,Adelaide Oval,Australia,SR Watson,Right-arm fast-medium,"[0, 1, 1]",1,5,16,0,0
34,573014,Melbourne Cricket Ground,Australia,MA Starc,Left-arm fast,"[0, 0, 0]",1,1,9,0,0
35,573015,Adelaide Oval,Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",1,0,3,0,0
36,573016,"Brisbane Cricket Ground, Woolloongabba",Australia,CJ McKay,Right-arm fast-medium,"[0, 1, 1]",0,5,8,1,0
